59091, 213, 4095, 784, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
59885, 71, 3810, 1061, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59920, -91, 3838, 910, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
59955, -337, 4139, 999, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60011, -114, 4097, 1001, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60068, -16, 3987, 886, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60125, -53, 3959, 899, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60181, -6, 4105, 912, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60238, -17, 4136, 941, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60295, -18, 4037, 922, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60351, 14, 3917, 897, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60408, -9, 3860, 890, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60465, -10, 3987, 837, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60522, -123, 4098, 822, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60548, -193, 3953, 913, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60575, -245, 4011, 901, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60601, -271, 4180, 878, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60628, -107, 4108, 857, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60654, -52, 3747, 816, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60681, -103, 3948, 883, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60707, -303, 4123, 854, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60734, -206, 3992, 828, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60760, -146, 3887, 875, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60787, -135, 3989, 928, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60828, -269, 4089, 936, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60869, -254, 4059, 835, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60910, -258, 3960, 869, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60951, -220, 4199, 806, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
60992, -240, 4409, 772, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61034, -98, 3957, 739, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61075, 13, 3664, 797, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61116, -95, 3967, 811, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61157, -222, 4158, 792, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61198, -277, 3956, 778, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61240, -439, 4098, 918, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61274, -191, 4010, 948, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61309, -25, 4050, 891, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61343, -22, 3724, 772, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61378, -239, 3784, 841, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61413, -342, 4259, 896, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61447, -438, 4171, 815, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61482, -253, 4049, 843, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61516, -182, 3872, 886, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61551, -172, 4125, 852, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61586, -296, 4136, 873, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61622, -222, 3951, 813, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61658, -118, 3946, 876, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61695, -214, 3995, 804, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61731, -103, 4130, 807, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61768, -244, 3849, 807, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61804, -276, 4111, 1067, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61841, -400, 4008, 731, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61877, -379, 3977, 823, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61914, -346, 4044, 789, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61950, -212, 3977, 864, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
61987, -192, 4136, 936, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62027, -131, 3742, 685, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62068, -334, 4074, 938, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62109, -352, 4377, 987, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62149, -205, 4057, 795, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62190, -208, 3783, 874, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62231, -207, 3988, 907, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62271, -216, 4183, 1018, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62312, -123, 4120, 1203, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62353, -208, 3815, 1095, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62394, -87, 3661, 1171, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62434, -418, 3705, 833, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62475, -237, 4321, 903, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62516, -308, 4231, 1046, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62557, -36, 3885, 1113, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62598, -520, 3861, 982, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62638, -304, 4238, 1131, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62679, 29, 4067, 1375, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62720, 283, 2289, 769, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62761, -100, 4303, 682, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62802, 501, 4408, 1180, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62841, 147, 3900, 1090, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62881, 181, 4061, 748, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62921, 133, 4033, 730, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
62960, 34, 3854, 675, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63000, -190, 3853, 676, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63040, -289, 4060, 517, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63080, -52, 4348, 329, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63119, -55, 4300, 288, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63159, -35, 4133, 387, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63199, -79, 4034, 346, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63239, -31, 4116, 291, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63274, -34, 4262, 149, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63309, 13, 4199, 127, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63344, 1, 4194, 123, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
63380, -3, 4122, 75, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63415, -19, 4118, 122, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63450, 33, 4108, 198, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63486, 0, 4075, 148, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63521, -11, 4077, 148, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63556, -48, 4121, 174, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63592, -55, 4176, 131, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63627, -62, 4098, 119, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63663, -47, 4103, 131, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63699, -45, 4121, 122, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63734, 20, 4121, 102, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63770, 15, 4122, 131, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63806, 13, 4093, 124, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63842, -29, 4123, 118, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63877, -50, 4140, 117, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63913, -88, 4084, 181, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63949, -44, 4122, 195, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
63985, 2, 4079, 172, 98, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64025, -3, 4060, 159, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64065, 8, 4096, 96, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64105, -38, 4080, 65, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64145, -45, 4171, 72, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64185, -103, 4163, 284, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64225, -66, 3976, 289, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64265, -40, 3944, 282, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64305, 7, 4035, 194, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64345, 23, 4156, 160, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64386, 5, 4147, 169, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64426, -20, 4120, 176, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64467, -38, 4106, 144, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64508, -41, 4076, 113, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64548, -38, 4186, 89, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64589, -26, 4113, 77, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64630, 4, 4111, 110, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64670, -38, 4044, 105, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64711, -13, 4075, 101, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64752, -27, 4094, 44, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64793, -34, 4133, 92, 97, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64830, -37, 4134, 73, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64867, -33, 4109, 52, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64905, -54, 4052, 80, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64942, -42, 4104, 70, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
64980, -41, 4157, 37, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65017, -31, 4122, 71, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65055, -44, 4091, 64, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65092, -36, 4127, 25, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65130, -7, 4131, 18, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65167, -34, 4120, 19, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65205, -31, 4117, 40, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65241, -29, 4097, 55, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65277, -26, 4086, 20, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65313, -41, 4096, 13, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65350, -8, 4092, 18, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65386, -27, 4080, 38, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65422, -79, 4089, 33, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65459, -66, 4116, 44, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65495, -51, 4108, 22, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65531, -14, 4121, 9, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65568, -51, 4099, 52, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65606, -34, 4090, 27, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65645, -36, 4096, 36, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65683, -38, 4115, 48, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65722, -19, 4110, 43, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65760, -9, 4137, 27, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65799, -45, 4103, 52, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65837, -36, 4103, 39, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65876, -44, 4106, 38, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65914, -28, 4094, 32, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65953, -36, 4075, 30, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
65992, -21, 4093, 18, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66032, -42, 4115, 35, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66073, -65, 4078, 41, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66114, -35, 4130, 16, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66155, -36, 4124, 37, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66196, -21, 4068, 50, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66237, -34, 4107, 35, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66278, -67, 4090, 37, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66319, -58, 4090, 38, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66360, -36, 4106, 32, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66401, -45, 4106, 56, 95, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66443, -54, 4113, 40, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66486, -86, 4108, 56, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66528, -49, 4108, 42, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66571, -72, 4114, 70, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66613, -48, 4100, 11, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66656, -45, 4095, 40, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66698, -48, 4092, 71, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66741, -44, 4127, 51, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
66783, -43, 4106, 46, 96, 1fe57eac-ebec-4bf6-82f7-94c1e0e354bb, , berdiri, bersedekap, , 
