82666, -174, 4104, 37, 83, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84281, -6, 4141, 357, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84327, -14, 4086, 356, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84372, -31, 4057, 306, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84418, -72, 4017, 311, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84464, -13, 4017, 382, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84493, -5, 4120, 414, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84522, 19, 4060, 408, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84551, 30, 4100, 342, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84580, 85, 4145, 317, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84609, 98, 4093, 348, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84638, 35, 4125, 377, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84667, -11, 4091, 404, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84696, -73, 4110, 399, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84725, -53, 4095, 313, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84754, 13, 4085, 271, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84784, 34, 4116, 245, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84826, 19, 4123, 249, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84869, -16, 4139, 282, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84912, -39, 4115, 325, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84954, -69, 4068, 305, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
84997, 49, 4067, 385, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85040, 81, 4103, 412, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85082, 75, 4086, 407, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85125, 65, 4062, 370, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85168, 67, 4059, 379, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85211, 82, 4048, 379, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85249, 20, 4115, 305, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85287, 44, 4113, 347, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85325, 76, 4085, 379, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85364, 94, 4100, 377, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85402, 110, 4100, 373, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85440, 95, 4095, 396, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85479, 50, 4102, 346, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85517, 134, 4028, 404, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85555, 144, 4104, 404, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85594, 107, 4144, 389, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85629, 111, 4074, 421, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85665, 90, 4052, 405, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85700, 82, 4094, 389, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85736, 80, 4105, 422, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85771, 101, 4061, 448, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85807, 129, 4051, 431, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85842, 163, 4069, 430, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85878, 180, 4073, 395, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85913, 167, 4075, 408, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85949, 143, 4061, 402, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
85985, 124, 4073, 411, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86027, 147, 4101, 430, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86069, 165, 4089, 435, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86111, 155, 4086, 433, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86154, 169, 4123, 424, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86196, 138, 4088, 417, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86238, 188, 4089, 389, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86281, 150, 4073, 415, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86323, 125, 4099, 428, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86365, 108, 4056, 438, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86408, 158, 4058, 461, 84, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86443, 176, 4109, 443, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86478, 135, 4133, 427, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86513, 177, 4090, 406, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86549, 175, 4072, 414, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86584, 181, 4053, 395, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86619, 167, 4101, 399, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86654, 142, 4091, 398, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86690, 186, 4075, 422, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86725, 172, 4064, 400, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86760, 180, 4100, 398, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86796, 161, 4088, 382, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86837, 171, 4107, 418, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86879, 161, 4089, 405, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86921, 162, 4089, 406, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
86962, 145, 4097, 380, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87004, 156, 4102, 378, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87046, 195, 4088, 397, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87087, 174, 4077, 419, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87129, 147, 4084, 429, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87171, 164, 4075, 420, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87213, 159, 4082, 413, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87251, 187, 4107, 414, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87289, 184, 4089, 396, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87327, 173, 4076, 410, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87365, 182, 4090, 392, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87403, 158, 4090, 404, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87441, 177, 4052, 416, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87479, 160, 4092, 380, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87517, 163, 4101, 416, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87555, 156, 4069, 411, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87594, 149, 4077, 396, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87630, 164, 4079, 388, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87666, 164, 4133, 411, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87703, 148, 4059, 409, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87739, 159, 4075, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87775, 152, 4095, 424, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87812, 133, 4068, 431, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87848, 161, 4107, 421, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87884, 155, 4113, 417, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87921, 146, 4078, 409, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87957, 122, 4121, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
87994, 147, 4072, 409, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88037, 151, 4110, 432, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88081, 122, 4086, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88124, 133, 4074, 380, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88168, 169, 4077, 388, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88212, 139, 4107, 392, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88255, 155, 4078, 422, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88299, 188, 4064, 398, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88342, 162, 4098, 378, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88386, 160, 4097, 407, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88430, 174, 4088, 422, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88463, 169, 4099, 415, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88496, 158, 4078, 421, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88529, 161, 4065, 397, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88562, 201, 4078, 415, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88595, 158, 4175, 408, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88628, 160, 4094, 410, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88661, 136, 4043, 390, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88694, 133, 4046, 389, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88727, 106, 4098, 404, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88760, 154, 4097, 410, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88793, 148, 4110, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88833, 143, 4081, 384, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88873, 181, 4084, 392, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88913, 148, 4118, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88953, 155, 4078, 401, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
88993, 141, 4065, 390, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89033, 147, 4101, 373, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89073, 132, 4080, 382, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89113, 147, 4069, 377, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89153, 164, 4114, 395, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89193, 127, 4083, 381, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89232, 143, 4081, 388, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89271, 122, 4097, 361, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89310, 128, 4091, 374, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89349, 153, 4128, 385, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89388, 123, 4105, 367, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89427, 127, 4069, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89466, 139, 4066, 403, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89505, 142, 4074, 391, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89544, 151, 4063, 403, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89584, 135, 4105, 386, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89621, 174, 4096, 385, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89658, 182, 4072, 381, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89695, 158, 4082, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89732, 137, 4091, 387, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89769, 156, 4086, 381, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89807, 180, 4054, 409, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89844, 192, 4076, 413, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89881, 150, 4102, 411, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89918, 162, 4083, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89955, 187, 4067, 375, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
89993, 180, 4098, 388, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90034, 197, 4073, 394, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90076, 181, 4084, 391, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90118, 193, 4130, 400, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90159, 149, 4097, 383, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90201, 178, 4051, 401, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90243, 143, 4135, 375, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90284, 158, 4085, 422, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90326, 140, 4043, 405, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90368, 170, 4111, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90410, 158, 4102, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90447, 165, 4144, 371, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90484, 210, 4069, 362, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90522, 195, 4103, 404, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90559, 153, 4095, 413, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90597, 173, 4068, 415, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90634, 159, 4096, 392, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90671, 188, 4101, 388, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90709, 173, 4064, 399, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90746, 172, 4087, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90784, 189, 4093, 418, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90821, 179, 4084, 410, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90858, 191, 4051, 396, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90895, 152, 4132, 396, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90932, 164, 4072, 428, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
90969, 154, 4059, 422, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91006, 170, 4103, 406, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91043, 180, 4108, 409, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91080, 164, 4065, 413, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91117, 161, 4062, 399, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91154, 155, 4089, 424, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91192, 130, 4069, 424, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91232, 167, 4106, 410, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91272, 162, 4082, 402, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91312, 152, 4081, 406, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91353, 151, 4081, 417, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91393, 170, 4091, 418, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91433, 184, 4124, 435, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91474, 184, 4086, 420, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91514, 170, 4046, 393, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91554, 184, 4069, 390, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91595, 175, 4108, 400, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91630, 173, 4127, 450, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91665, 202, 4057, 424, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91701, 175, 4104, 384, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91736, 174, 4074, 431, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91771, 197, 4067, 428, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91807, 194, 4096, 464, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
91842, 165, 4085, 437, 85, 747aa33d-3b10-40ec-942d-86e19e49b16c, , berdiri, bersedekap, , 
