19770, -965, 4074, -1357, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
22965, -893, 3735, -1491, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23002, -845, 3716, -1501, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23039, -814, 3789, -1508, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23076, -915, 3746, -1521, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23113, -914, 3625, -1439, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23150, -833, 3719, -1505, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23187, -886, 3702, -1460, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23225, -865, 3703, -1456, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23264, -866, 3735, -1420, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23303, -879, 3765, -1480, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23341, -860, 3733, -1470, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23380, -901, 3735, -1467, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23419, -860, 3732, -1468, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23458, -882, 3646, -1430, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23496, -857, 3706, -1462, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23535, -870, 3732, -1444, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23574, -873, 3748, -1490, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23613, -862, 3715, -1468, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23653, -854, 3693, -1484, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23694, -885, 3706, -1449, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23735, -882, 3694, -1515, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23775, -854, 3754, -1453, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23816, -851, 3732, -1447, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23857, -875, 3721, -1502, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23897, -860, 3682, -1459, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23938, -877, 3743, -1479, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
23979, -851, 3779, -1520, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24020, -870, 3697, -1482, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24056, -876, 3709, -1475, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24093, -864, 3741, -1481, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24129, -835, 3707, -1495, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24166, -869, 3718, -1476, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24203, -857, 3714, -1483, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24239, -884, 3708, -1495, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24276, -875, 3714, -1491, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24312, -850, 3703, -1492, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24349, -854, 3710, -1482, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24386, -853, 3716, -1466, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24425, -867, 3707, -1504, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24464, -879, 3752, -1463, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24503, -847, 3692, -1528, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24542, -830, 3723, -1472, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24581, -864, 3745, -1516, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24620, -853, 3687, -1501, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24659, -855, 3693, -1496, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24698, -871, 3752, -1508, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24737, -834, 3712, -1504, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24776, -840, 3694, -1460, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24816, -878, 3745, -1496, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24861, -853, 3730, -1514, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24906, -845, 3750, -1508, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24951, -903, 3798, -1485, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
24996, -880, 3755, -1506, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25041, -856, 3750, -1482, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25086, -840, 3721, -1471, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25131, -829, 3786, -1537, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25176, -866, 3744, -1453, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25221, -842, 3713, -1496, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25267, -882, 3734, -1454, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25297, -851, 3743, -1464, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25328, -848, 3773, -1426, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25359, -844, 3698, -1434, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25390, -855, 3680, -1405, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25421, -843, 3685, -1421, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25452, -879, 3783, -1394, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25483, -891, 3784, -1392, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25514, -883, 3734, -1378, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25545, -897, 3783, -1361, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25576, -899, 3761, -1388, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25607, -898, 3723, -1379, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25648, -886, 3723, -1365, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25689, -848, 3669, -1374, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25730, -859, 3680, -1377, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25772, -885, 3705, -1368, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25813, -874, 3738, -1422, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25854, -880, 3771, -1396, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25896, -843, 3708, -1483, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25937, -857, 3771, -1383, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
25978, -851, 3740, -1430, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26020, -875, 3706, -1393, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26057, -890, 3822, -1458, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26095, -873, 3764, -1384, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26133, -839, 3756, -1435, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26170, -741, 3709, -1481, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26208, -788, 3645, -1391, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26246, -774, 3667, -1530, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26283, -614, 3632, -1615, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26321, -721, 3665, -1542, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26359, -687, 3733, -1501, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26397, -723, 3781, -1531, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26434, -673, 3719, -1556, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26471, -688, 3683, -1548, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26508, -645, 3845, -1632, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26545, -607, 3709, -1558, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26582, -673, 3773, -1504, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26620, -665, 3684, -1601, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26657, -709, 3564, -1516, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26694, -628, 3687, -1656, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26731, -678, 3829, -1704, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26768, -682, 3712, -1675, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26806, -621, 3680, -1736, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26845, -705, 3759, -1824, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26884, -595, 3765, -1790, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26924, -663, 3788, -1777, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
26963, -770, 3970, -1729, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27003, -507, 3683, -1694, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27042, -566, 3863, -1653, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27081, -512, 3631, -1562, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27121, -653, 3671, -1359, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27160, -369, 3562, -1413, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27200, -490, 3763, -1359, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27237, -410, 3696, -1402, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27275, -380, 3795, -1401, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27313, -432, 3869, -1399, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27351, -515, 3786, -1293, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27389, -492, 3841, -1354, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27426, -484, 3800, -1309, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27464, -549, 3767, -1502, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27502, -546, 3970, -1299, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27540, -674, 3891, -1451, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27578, -792, 3899, -1311, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27616, -764, 3751, -1356, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27653, -703, 3804, -1334, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27690, -675, 3788, -1246, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27727, -649, 3895, -1350, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27764, -694, 3917, -1278, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27801, -622, 3772, -1366, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27838, -780, 3883, -1297, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27875, -385, 3738, -1330, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27912, -643, 3655, -1206, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27949, -689, 3834, -1280, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
27986, -863, 3824, -1358, , 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28028, -834, 3841, -1262, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28071, -843, 3832, -1270, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28114, -782, 3752, -1239, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28156, -731, 3783, -1269, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28199, -761, 3787, -1256, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28242, -714, 3861, -1340, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28284, -813, 3806, -1223, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28327, -777, 3841, -1306, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28370, -797, 3800, -1264, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28413, -777, 3837, -1236, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28447, -815, 3802, -1293, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28482, -799, 3846, -1245, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28517, -798, 3809, -1312, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28552, -775, 3769, -1275, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28587, -798, 3801, -1263, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28621, -823, 3862, -1269, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28656, -839, 3858, -1215, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28691, -839, 3845, -1251, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28726, -822, 3806, -1180, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28761, -822, 3845, -1222, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28796, -826, 3854, -1216, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28835, -854, 3838, -1257, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28874, -798, 3806, -1213, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28913, -791, 3798, -1189, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28952, -818, 3777, -1237, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
28991, -794, 3760, -1206, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
29030, -823, 3780, -1219, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
29069, -787, 3796, -1247, 55, 603bfba5-9986-48a6-a808-c701d3e9df5f, , berdiri, bersedekap, , 
