26602, -1018, 3222, -2431, , 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29234, -1001, 3175, -2369, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29269, -1002, 3131, -2413, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29304, -981, 3140, -2389, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29339, -988, 3178, -2397, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29374, -1011, 3207, -2379, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29409, -1004, 3078, -2448, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29444, -1019, 3204, -2381, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29479, -985, 3100, -2384, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29514, -991, 3125, -2394, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29549, -972, 3108, -2373, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29584, -962, 3073, -2392, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29620, -964, 3149, -2377, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29659, -968, 3130, -2393, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29699, -1014, 3176, -2475, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29739, -1038, 3148, -2478, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29778, -1028, 3144, -2422, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29818, -1020, 3083, -2431, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29858, -1030, 3124, -2420, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29897, -1025, 3126, -2453, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29937, -1045, 3139, -2418, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
29977, -999, 3119, -2451, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30017, -971, 3134, -2494, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30057, -995, 3134, -2449, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30097, -1011, 3109, -2404, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30137, -985, 3172, -2411, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30177, -1016, 3152, -2457, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30217, -1004, 3189, -2427, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30257, -959, 3132, -2474, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30297, -981, 3164, -2387, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30337, -993, 3130, -2419, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30377, -1025, 3161, -2393, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30418, -1015, 3136, -2432, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30456, -1047, 3158, -2413, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30494, -1020, 3137, -2403, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30533, -1009, 3094, -2383, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30571, -1024, 3162, -2397, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30610, -975, 3146, -2381, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30648, -1004, 3164, -2431, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30687, -997, 3132, -2387, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30725, -994, 3138, -2415, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30764, -1008, 3156, -2410, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30802, -1016, 3159, -2433, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30841, -969, 3088, -2410, 86, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30885, -1007, 3153, -2395, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30930, -1033, 3160, -2431, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
30974, -1058, 3191, -2407, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31019, -992, 3164, -2408, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31063, -1014, 3141, -2427, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31108, -1011, 3121, -2409, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31152, -1036, 3166, -2387, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31197, -988, 3139, -2405, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31241, -981, 3120, -2374, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31286, -998, 3149, -2384, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31317, -1060, 3225, -2431, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31349, -1027, 3171, -2419, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31381, -1052, 3184, -2402, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31412, -1025, 3147, -2389, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31444, -1025, 3172, -2425, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31476, -1049, 3169, -2400, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31508, -1027, 3112, -2415, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31539, -1023, 3105, -2379, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31571, -1032, 3173, -2396, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31603, -1045, 3211, -2410, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31635, -1002, 3221, -2364, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31675, -973, 3170, -2405, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31716, -1000, 3128, -2372, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31756, -1010, 3134, -2356, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31797, -1020, 3169, -2401, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31837, -1024, 3182, -2408, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31878, -1017, 3150, -2339, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31918, -1055, 3168, -2377, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31959, -998, 3153, -2390, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
31999, -1021, 3145, -2375, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32040, -1032, 3152, -2379, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32080, -1021, 3140, -2374, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32121, -1011, 3114, -2381, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32162, -1018, 3148, -2422, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32203, -1031, 3152, -2443, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32244, -1013, 3162, -2405, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32285, -1017, 3166, -2425, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32326, -968, 3121, -2381, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32367, -980, 3162, -2422, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32408, -1009, 3132, -2447, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32449, -996, 3101, -2395, 85, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32484, -1001, 3212, -2378, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32519, -1029, 3169, -2476, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32554, -1014, 3138, -2411, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32589, -990, 3132, -2439, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32624, -1018, 3123, -2415, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32660, -1012, 3146, -2407, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32695, -1016, 3154, -2437, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32730, -1041, 3143, -2423, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32765, -1018, 3174, -2440, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32800, -994, 3112, -2422, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32836, -1027, 3116, -2377, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32877, -1080, 3147, -2398, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32919, -1023, 3133, -2474, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
32961, -1044, 3156, -2410, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33003, -1017, 3113, -2413, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33045, -1037, 3122, -2395, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33087, -1015, 3114, -2407, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33129, -1013, 3155, -2437, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33171, -1011, 3134, -2408, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33213, -1013, 3114, -2401, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33255, -1012, 3127, -2423, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33290, -1011, 3150, -2401, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33326, -1023, 3169, -2429, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33362, -1010, 3157, -2418, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33398, -1016, 3118, -2399, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33434, -1027, 3144, -2401, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33469, -1015, 3125, -2409, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33505, -1034, 3138, -2419, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33541, -1058, 3180, -2392, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33577, -1050, 3124, -2430, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33613, -1043, 3129, -2346, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33649, -1028, 3125, -2406, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33687, -1037, 3113, -2399, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33726, -1042, 3133, -2419, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33764, -1046, 3146, -2415, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33803, -1035, 3151, -2406, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33841, -1021, 3131, -2390, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33880, -1052, 3170, -2411, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33918, -1030, 3145, -2427, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33957, -1022, 3114, -2409, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
33995, -1025, 3133, -2408, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34034, -1027, 3128, -2432, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34074, -1029, 3136, -2404, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34115, -1019, 3136, -2414, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34155, -1060, 3137, -2403, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34196, -992, 3110, -2438, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34237, -1005, 3133, -2426, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34277, -986, 3121, -2403, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34318, -997, 3136, -2417, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34358, -1031, 3159, -2448, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34399, -1056, 3115, -2425, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34440, -1026, 3122, -2398, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34477, -1014, 3104, -2451, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34514, -1024, 3115, -2399, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34551, -1013, 3148, -2413, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34588, -991, 3176, -2428, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34625, -965, 3113, -2432, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34663, -1012, 3157, -2416, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34700, -1027, 3130, -2419, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34737, -1069, 3134, -2416, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34774, -1084, 3122, -2432, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34811, -1014, 3105, -2427, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34849, -1022, 3119, -2418, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34893, -1042, 3139, -2414, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34937, -1037, 3125, -2435, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
34981, -1019, 3132, -2415, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35025, -999, 3126, -2447, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35069, -992, 3074, -2419, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35113, -1043, 3130, -2448, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35157, -1024, 3140, -2449, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35201, -1039, 3146, -2447, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35245, -1016, 3108, -2434, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35289, -1015, 3106, -2420, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35325, -1008, 3088, -2436, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35361, -1015, 3141, -2440, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35397, -1043, 3158, -2434, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35433, -1028, 3135, -2432, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35469, -1049, 3149, -2438, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35505, -1048, 3132, -2477, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35541, -1016, 3142, -2471, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35577, -1009, 3082, -2437, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35613, -999, 3093, -2465, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35649, -1014, 3117, -2421, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35685, -1010, 3112, -2441, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35721, -1006, 3071, -2481, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35757, -1016, 3065, -2391, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
35794, -1021, 3146, -2450, 84, 99f14574-be2c-49c3-abfd-27c626d9e429, , berdiri, bersedekap, , 
