85531, 436, 3760, -674, 65, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87277, 168, 3973, -997, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87319, 158, 3973, -1008, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87353, 144, 3964, -1050, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87388, 152, 3943, -1006, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87423, 123, 3965, -1018, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87458, 167, 3965, -1025, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87493, 180, 3969, -1006, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87528, 181, 3955, -1025, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87563, 145, 3956, -1047, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87598, 144, 3919, -1060, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87633, 126, 3916, -1051, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87668, 137, 3940, -1024, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87703, 144, 3913, -1084, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87743, 154, 3953, -1122, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87784, 154, 3979, -1083, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87824, 155, 3981, -1045, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87865, 132, 3996, -1131, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87906, 151, 4003, -1082, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87946, 134, 3961, -1067, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
87987, 155, 3915, -1091, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88027, 160, 3948, -1107, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88068, 157, 3949, -1096, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88109, 156, 3974, -1089, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88150, 167, 3947, -1113, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88191, 154, 3906, -1092, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88232, 154, 3931, -1104, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88273, 175, 3964, -1074, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88314, 181, 3960, -1099, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88355, 179, 3942, -1091, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88396, 195, 3950, -1040, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88437, 186, 3987, -1063, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88478, 188, 3954, -1109, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88519, 195, 3930, -1064, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88552, 198, 3960, -1052, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88585, 200, 3979, -1084, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88619, 178, 3985, -1059, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88652, 180, 3949, -1058, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88685, 183, 3965, -1045, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88719, 184, 3934, -1042, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88752, 171, 3970, -1057, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88785, 152, 3957, -1044, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88819, 141, 3974, -1062, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88852, 145, 3946, -1079, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88886, 166, 3974, -1042, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88930, 166, 3993, -1050, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
88975, 175, 3940, -1077, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89020, 172, 3938, -1068, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89065, 160, 3929, -1090, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89110, 187, 3925, -1089, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89155, 174, 3944, -1083, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89200, 183, 3976, -1089, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89245, 160, 3943, -1106, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89290, 143, 3939, -1115, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89335, 145, 3952, -1139, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89370, 137, 3964, -1132, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89406, 160, 3950, -1120, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89442, 152, 3967, -1136, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89478, 160, 3952, -1106, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89514, 129, 3958, -1130, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89549, 125, 3923, -1176, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89585, 106, 3938, -1102, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89621, 110, 3937, -1116, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89657, 157, 3960, -1139, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89693, 169, 3960, -1155, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89730, 139, 3928, -1113, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89767, 171, 3929, -1138, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89805, 200, 3926, -1145, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89842, 192, 3947, -1141, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89879, 174, 3944, -1164, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89917, 155, 3945, -1153, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89954, 135, 3882, -1147, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
89991, 171, 3934, -1148, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90029, 159, 3941, -1177, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90066, 159, 3935, -1171, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90104, 170, 3929, -1134, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90145, 151, 3945, -1146, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90187, 160, 3943, -1170, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90229, 182, 3925, -1142, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90271, 179, 3912, -1137, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90313, 170, 3885, -1151, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90354, 150, 3917, -1145, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90396, 147, 3916, -1142, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90438, 159, 3941, -1148, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90480, 191, 3922, -1141, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90522, 182, 3907, -1145, 66, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90557, 169, 3959, -1110, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90593, 161, 3962, -1144, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90629, 169, 3929, -1145, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90665, 164, 3946, -1115, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90701, 129, 3948, -1137, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90737, 157, 3960, -1146, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90773, 164, 3925, -1127, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90809, 153, 3937, -1130, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90845, 150, 3918, -1161, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90881, 153, 3938, -1161, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90917, 158, 3927, -1127, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90955, 147, 3952, -1161, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
90994, 144, 3937, -1157, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91032, 164, 3897, -1154, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91071, 153, 3937, -1114, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91110, 150, 3962, -1173, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91148, 153, 3923, -1161, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91187, 148, 3930, -1127, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91225, 146, 3950, -1153, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91264, 164, 3965, -1164, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91303, 163, 3940, -1138, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91343, 169, 3915, -1143, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91383, 155, 3913, -1154, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91424, 139, 3905, -1145, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91464, 148, 3947, -1142, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91505, 160, 3955, -1142, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91545, 131, 3941, -1152, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, , 
91585, 133, 3891, -1156, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91626, 188, 3973, -1116, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91666, 224, 4121, -1316, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91707, 233, 4265, -1271, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91748, 370, 4462, -759, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91789, 317, 4548, -1239, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91830, 516, 4067, -1102, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91871, 165, 2918, -383, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91912, -507, 3755, -734, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91953, 68, 4617, -1322, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
91994, 365, 4146, -767, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92035, 284, 3757, -464, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92076, 311, 3808, -529, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92117, 321, 3865, -604, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92159, 250, 4049, -652, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92196, 346, 4218, -710, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92234, 338, 4053, -754, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92272, 399, 3898, -733, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92309, 338, 3859, -731, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92347, 174, 4012, -913, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92385, 111, 4034, -927, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92422, 109, 4164, -872, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92460, 168, 3974, -1030, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92498, 196, 3976, -998, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92536, 287, 3801, -666, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92569, 86, 4068, -840, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92603, 45, 4137, -1014, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92637, 132, 3984, -1040, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92671, 126, 4023, -887, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92705, 256, 4140, -866, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92738, 289, 3896, -839, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92772, 231, 3926, -882, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92806, 215, 3857, -906, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92840, 229, 3956, -924, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92874, 159, 4048, -1019, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92908, 122, 4025, -1075, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92948, 192, 4001, -1055, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
92989, 219, 3901, -929, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93030, 122, 3949, -961, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93071, 122, 3936, -997, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93112, 174, 3998, -1006, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93152, 157, 3909, -1039, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93193, 185, 3999, -981, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93234, 133, 4062, -1025, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93275, 130, 3890, -1045, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93316, 243, 3975, -986, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93354, 155, 3993, -1038, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93393, 197, 3944, -1035, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93432, 222, 3987, -1009, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93471, 220, 3928, -981, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93510, 274, 3812, -992, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93549, 190, 4002, -1072, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93588, 79, 4199, -1234, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93627, 243, 4120, -1219, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93666, 352, 3819, -1014, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93705, 306, 3875, -1006, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93741, 267, 3828, -995, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93778, 180, 4069, -1215, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93814, 201, 3972, -1192, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93851, 241, 4044, -1122, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93887, 251, 3844, -1104, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93924, 141, 3840, -1223, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93960, 73, 3993, -1257, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
93997, 150, 3912, -1130, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
94033, 165, 3719, -1190, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
94070, 155, 3977, -1179, 67, 95eabba9-0f9b-4d22-a661-ff343442962b, , berdiri, bersedekap, menggaruk_dengan_tangan_lain, 
