308502, -511, 4098, -627, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310170, -622, 3999, -696, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310205, -614, 3954, -685, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310241, -629, 3994, -676, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310276, -616, 3970, -663, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310312, -603, 3955, -682, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310347, -617, 3939, -673, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310383, -595, 3965, -657, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310419, -615, 3959, -683, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310458, -583, 3994, -687, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310498, -611, 3991, -694, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310537, -621, 4013, -696, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310577, -603, 4010, -688, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310617, -590, 3991, -726, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310656, -627, 3977, -673, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310696, -593, 3985, -773, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310735, -587, 3986, -671, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310775, -598, 4019, -745, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310815, -627, 4005, -687, 80, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310856, -633, 4021, -696, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310898, -631, 4061, -708, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310939, -595, 4008, -699, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
310981, -615, 3945, -666, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311023, -614, 3996, -706, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311064, -636, 3974, -714, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311106, -626, 3983, -690, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311147, -625, 4014, -682, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311189, -649, 3965, -688, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311231, -626, 3985, -702, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311266, -630, 4015, -734, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311301, -660, 4021, -676, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311336, -648, 3962, -720, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311372, -642, 3950, -670, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311407, -643, 3947, -695, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311442, -669, 3979, -698, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311477, -630, 3975, -703, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311513, -622, 4028, -741, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311548, -640, 4019, -706, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311583, -668, 3951, -696, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311619, -626, 3993, -690, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311660, -596, 3963, -678, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311701, -614, 4004, -694, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311742, -645, 3990, -728, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311784, -638, 3990, -695, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311825, -652, 3981, -739, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311866, -623, 3972, -735, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311908, -640, 4004, -704, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311949, -630, 3991, -736, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
311990, -616, 4003, -683, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312032, -612, 4009, -736, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312066, -629, 4009, -737, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312101, -639, 3973, -722, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312136, -660, 3980, -751, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312171, -649, 4008, -767, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312206, -647, 3958, -707, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312240, -655, 3997, -751, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312275, -628, 3997, -721, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312310, -643, 3980, -722, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312345, -648, 3993, -739, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312380, -652, 3990, -752, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312415, -665, 3961, -722, 81, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312455, -652, 3954, -720, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312495, -677, 3969, -673, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312536, -643, 4004, -756, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312576, -666, 4007, -683, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312617, -668, 4032, -725, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312657, -666, 3998, -722, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312697, -643, 3968, -697, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312738, -647, 3952, -737, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312778, -611, 3986, -729, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312819, -637, 3960, -685, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312860, -645, 3986, -697, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312902, -655, 3962, -710, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312944, -653, 3989, -706, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
312986, -642, 3982, -673, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313028, -667, 3990, -669, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313070, -637, 3997, -680, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313112, -690, 4010, -654, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313154, -628, 3995, -740, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313196, -643, 3975, -652, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313238, -633, 3987, -710, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313272, -676, 3976, -687, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313306, -656, 3967, -687, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313340, -647, 4017, -710, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313375, -661, 3989, -706, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313409, -660, 3960, -675, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313443, -659, 3984, -684, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313477, -651, 3981, -679, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313512, -658, 3997, -672, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313546, -628, 4003, -704, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313580, -652, 3972, -701, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313615, -665, 3967, -695, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313656, -622, 3979, -693, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313698, -606, 3972, -737, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313740, -623, 3989, -666, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313782, -666, 4044, -712, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313824, -660, 3980, -725, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313866, -649, 3963, -702, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313908, -662, 3984, -732, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313950, -642, 3959, -698, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
313992, -648, 3978, -698, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314034, -669, 4002, -717, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314069, -662, 4020, -727, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314105, -646, 3975, -715, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314140, -649, 3999, -737, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314176, -668, 3989, -730, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314211, -679, 3969, -711, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314247, -674, 4004, -700, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314282, -627, 3982, -768, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314318, -614, 3961, -702, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314353, -645, 4011, -745, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314389, -681, 3977, -723, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314425, -680, 3976, -721, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314464, -650, 3993, -761, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314503, -660, 3965, -709, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314542, -666, 3965, -734, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314581, -645, 3998, -725, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314620, -653, 3993, -714, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314659, -636, 3990, -725, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314698, -633, 4000, -740, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314737, -671, 3968, -748, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314776, -640, 3960, -724, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314815, -639, 4009, -758, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314856, -631, 4009, -739, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314898, -662, 3993, -708, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314940, -668, 3984, -756, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
314982, -664, 3973, -739, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315024, -685, 4002, -747, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315066, -663, 3984, -761, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315108, -680, 3977, -696, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315150, -685, 3961, -728, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315192, -658, 3996, -726, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315234, -646, 3960, -708, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315270, -653, 3983, -715, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315306, -695, 4005, -688, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315342, -666, 3960, -743, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315378, -703, 3958, -663, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315414, -680, 3972, -732, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315450, -636, 3980, -644, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315486, -631, 3962, -707, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315522, -631, 3910, -707, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315558, -635, 3929, -710, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315594, -698, 3983, -732, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315631, -679, 4007, -715, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315673, -679, 3970, -702, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315715, -690, 4010, -695, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315757, -674, 4006, -731, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315799, -671, 3961, -717, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315842, -673, 3962, -697, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315884, -656, 3981, -762, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315926, -689, 3934, -694, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
315968, -698, 3956, -733, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316010, -686, 3969, -684, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316053, -690, 3993, -720, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316086, -689, 3995, -743, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316119, -680, 3907, -723, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316152, -689, 4006, -692, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316186, -648, 4028, -761, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316219, -701, 3984, -705, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316252, -670, 3975, -728, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316285, -678, 3970, -710, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316319, -664, 3987, -721, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316352, -669, 3998, -714, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316385, -684, 3966, -760, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316419, -675, 3982, -711, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316459, -701, 3952, -711, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316500, -684, 3949, -703, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316540, -680, 3993, -682, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316581, -717, 3991, -734, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316622, -695, 3977, -694, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316662, -691, 3993, -718, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316703, -698, 3982, -726, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316743, -669, 3943, -700, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316784, -699, 3977, -727, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316825, -688, 3985, -722, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316867, -701, 3979, -737, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316909, -695, 3984, -702, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316951, -673, 3964, -743, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
316993, -664, 3983, -712, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317036, -687, 3981, -728, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317078, -658, 3974, -732, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317120, -662, 3991, -709, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317162, -653, 3991, -756, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317204, -671, 3950, -729, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317247, -690, 3983, -707, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317280, -664, 3993, -755, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317314, -684, 3964, -695, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317348, -692, 4005, -706, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317382, -675, 3974, -732, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317416, -650, 3926, -707, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317450, -664, 4010, -751, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317484, -665, 4022, -708, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317518, -657, 3942, -693, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317552, -661, 3986, -688, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317586, -658, 4010, -767, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317620, -651, 3970, -679, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317661, -643, 3984, -749, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317703, -667, 3984, -713, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317745, -670, 4005, -703, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317787, -663, 3993, -727, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317829, -657, 3961, -685, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
317871, -649, 3997, -725, 82, 8a0dab25-1543-4736-8d42-4933539e7d78, , berdiri, bersedekap, , 
