65065, 600, 3901, 509, 92, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66185, 626, 4041, 609, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66225, 628, 4029, 617, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66264, 621, 4010, 592, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66304, 611, 4020, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66343, 596, 4033, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66383, 613, 4028, 607, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66423, 610, 4043, 566, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66462, 624, 4041, 598, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66502, 625, 4013, 636, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66542, 628, 4029, 618, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66582, 626, 4016, 654, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66622, 583, 4030, 567, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66661, 621, 4061, 620, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66701, 662, 4067, 704, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66741, 605, 3963, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66781, 584, 4068, 561, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66821, 653, 4017, 664, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66861, 623, 4015, 626, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66898, 612, 4019, 630, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66935, 609, 4021, 622, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
66972, 611, 4022, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67009, 610, 4018, 628, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67047, 629, 4018, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67084, 621, 4024, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67121, 613, 4026, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67158, 612, 4034, 623, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67195, 627, 4014, 652, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67233, 612, 4026, 563, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67275, 632, 4017, 632, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67317, 635, 4024, 669, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67359, 630, 4002, 650, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67401, 647, 4025, 629, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67443, 635, 4033, 643, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67485, 621, 3999, 655, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67527, 634, 4020, 657, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67569, 639, 4018, 645, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67611, 642, 4007, 654, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67654, 643, 4013, 667, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67687, 649, 4014, 641, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67720, 637, 4011, 651, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67753, 631, 4058, 648, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67786, 664, 4012, 693, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67819, 640, 3990, 700, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67852, 616, 3988, 649, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67885, 622, 4026, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67918, 643, 4015, 643, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67951, 623, 4038, 637, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
67984, 633, 4007, 658, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68017, 643, 4010, 605, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68058, 623, 4013, 597, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68100, 608, 4030, 558, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68142, 607, 4030, 559, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68184, 614, 3999, 556, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68226, 632, 4010, 642, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68268, 617, 4040, 592, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68310, 641, 4045, 581, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68352, 650, 4021, 661, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68394, 611, 3997, 641, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68436, 623, 4006, 576, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68469, 640, 4029, 582, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68503, 639, 4019, 615, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68537, 624, 4036, 599, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68571, 643, 4030, 624, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68605, 638, 4006, 628, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68639, 642, 4009, 622, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68673, 626, 4030, 610, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68707, 625, 4031, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68741, 617, 4035, 625, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68775, 627, 4027, 626, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68809, 630, 4025, 620, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68852, 642, 3998, 641, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68896, 645, 4008, 626, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68939, 642, 4039, 619, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
68983, 635, 4033, 627, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69027, 605, 4028, 619, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69070, 637, 4024, 606, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69114, 633, 4021, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69157, 637, 4012, 621, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69201, 622, 4031, 583, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69245, 637, 4038, 638, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69282, 658, 3999, 648, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69320, 622, 4018, 632, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69357, 653, 4041, 623, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69395, 630, 4004, 599, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69432, 644, 4024, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69470, 627, 4010, 655, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69507, 649, 4008, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69545, 619, 4047, 595, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69582, 623, 4037, 637, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69620, 623, 4011, 608, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69655, 626, 4019, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69690, 628, 4020, 640, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69726, 640, 4002, 620, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69761, 631, 4013, 635, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69796, 616, 4038, 615, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69832, 622, 4039, 587, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69867, 627, 4012, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69902, 620, 3989, 646, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69938, 600, 4034, 604, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
69973, 612, 4011, 610, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70009, 614, 4012, 631, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70050, 618, 3997, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70092, 639, 3988, 638, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70134, 640, 4034, 598, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70176, 633, 4029, 587, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70218, 601, 4024, 610, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70260, 634, 4031, 647, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70302, 618, 4035, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70344, 629, 4007, 640, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70386, 619, 4024, 599, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70428, 652, 4023, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70463, 600, 4034, 573, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70499, 625, 4019, 632, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70534, 636, 4004, 638, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70570, 639, 4033, 598, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70605, 635, 4041, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70641, 642, 3984, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70676, 630, 4037, 615, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70712, 629, 4021, 616, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70747, 639, 4011, 625, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70783, 643, 4020, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70819, 652, 4027, 619, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70865, 655, 4006, 628, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70912, 624, 4002, 629, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
70958, 634, 4024, 623, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71005, 657, 4003, 627, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71052, 661, 4011, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71098, 653, 4034, 613, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71145, 630, 4029, 618, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71191, 634, 4022, 651, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71238, 671, 3968, 654, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71285, 659, 4015, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71318, 656, 4021, 646, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71351, 660, 4011, 669, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71385, 658, 4024, 638, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71418, 628, 4003, 647, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71452, 650, 3995, 634, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71485, 648, 4002, 644, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71518, 644, 4008, 647, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71552, 690, 4007, 662, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71585, 665, 4010, 629, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71619, 657, 4014, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71655, 669, 3992, 649, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71692, 671, 4024, 641, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71729, 660, 4045, 610, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71766, 681, 3991, 663, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71803, 671, 3999, 698, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71839, 663, 4006, 656, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71876, 654, 4015, 642, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71913, 664, 4012, 651, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71950, 668, 3980, 662, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
71987, 681, 3984, 688, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72024, 663, 4020, 665, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72067, 673, 4039, 624, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72110, 665, 4010, 626, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72153, 666, 3992, 666, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72196, 689, 4013, 640, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72239, 678, 4012, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72282, 682, 4022, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72325, 673, 4040, 631, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72368, 668, 4012, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72411, 642, 4012, 671, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72454, 680, 3988, 663, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72488, 675, 4023, 625, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72523, 668, 3903, 634, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72557, 645, 4034, 628, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72592, 645, 4006, 633, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72626, 652, 3972, 653, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72661, 665, 4009, 629, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72695, 677, 4028, 625, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72730, 655, 4014, 631, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72764, 648, 4030, 658, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72799, 645, 4000, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72834, 654, 4029, 666, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72879, 672, 4005, 668, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72924, 641, 4020, 605, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
72969, 667, 4052, 627, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73015, 666, 3993, 668, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73060, 677, 3996, 643, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73105, 673, 4051, 631, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73151, 661, 4001, 636, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73196, 685, 3986, 639, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73241, 651, 4028, 661, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73287, 664, 4012, 654, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73319, 662, 4015, 647, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73351, 644, 4033, 648, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73383, 671, 4020, 652, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73415, 648, 4011, 625, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73447, 650, 4005, 656, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73479, 634, 4007, 643, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73511, 663, 4030, 622, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73543, 659, 4006, 636, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73575, 668, 3986, 677, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73608, 657, 3982, 663, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73645, 673, 4021, 648, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73682, 695, 4029, 640, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73720, 685, 4023, 660, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73757, 687, 4009, 657, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
73794, 690, 4016, 647, 93, 75a1ac99-12ec-4cdd-b151-d7ae9b79d226, , berdiri, bersedekap, , 
