69222, -1117, 3359, -1548, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72175, -1229, 3483, -1743, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72212, -1180, 3503, -1770, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72249, -1200, 3502, -1744, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72286, -1226, 3521, -1744, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72324, -1223, 3481, -1754, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72361, -1215, 3488, -1759, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72398, -1209, 3464, -1742, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72435, -1200, 3532, -1772, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72472, -1238, 3457, -1739, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72510, -1248, 3500, -1765, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72547, -1201, 3480, -1738, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72585, -1193, 3463, -1761, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72622, -1214, 3496, -1782, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72660, -1214, 3487, -1751, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72697, -1215, 3505, -1797, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72735, -1245, 3453, -1733, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72772, -1209, 3497, -1793, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72810, -1207, 3530, -1798, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72847, -1226, 3466, -1734, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72885, -1197, 3492, -1775, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72927, -1230, 3461, -1775, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
72969, -1229, 3447, -1768, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73011, -1254, 3463, -1785, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73053, -1208, 3436, -1773, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73095, -1229, 3482, -1751, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73138, -1195, 3424, -1767, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73180, -1234, 3500, -1799, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73222, -1203, 3506, -1778, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73264, -1241, 3503, -1788, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73306, -1215, 3417, -1746, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73349, -1226, 3476, -1776, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73381, -1223, 3480, -1794, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73414, -1246, 3476, -1752, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73446, -1185, 3470, -1793, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73479, -1242, 3513, -1756, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73511, -1232, 3496, -1761, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73544, -1204, 3497, -1793, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73576, -1257, 3481, -1781, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73609, -1183, 3464, -1797, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73641, -1248, 3460, -1738, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73674, -1234, 3462, -1828, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73717, -1266, 3460, -1686, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73761, -1225, 3494, -1809, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73805, -1222, 3413, -1779, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73848, -1212, 3418, -1763, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73892, -1245, 3493, -1794, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73936, -1229, 3449, -1816, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
73979, -1267, 3461, -1804, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74023, -1232, 3473, -1761, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74067, -1244, 3459, -1819, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74111, -1253, 3458, -1815, 74, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74145, -1185, 3436, -1863, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74179, -1215, 3493, -1764, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74213, -1229, 3471, -1856, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74247, -1221, 3419, -1798, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74281, -1206, 3460, -1814, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74315, -1246, 3444, -1817, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74349, -1218, 3491, -1843, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74383, -1224, 3407, -1761, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74417, -1223, 3492, -1854, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74451, -1237, 3516, -1831, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74485, -1224, 3534, -1894, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74525, -1231, 3314, -1781, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74565, -1299, 3514, -1771, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74606, -1196, 3411, -1647, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74646, -1294, 3574, -1699, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74687, -1322, 3526, -1670, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
74727, -1096, 3507, -1748, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74767, -1232, 3651, -1589, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74808, -1266, 3600, -1499, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74848, -1370, 3772, -1658, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74889, -1240, 3692, -1669, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74929, -987, 4256, -1609, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
74970, -1638, 4541, -1927, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75010, -1638, 4026, -1663, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75051, -1857, 3375, -1543, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75091, -2240, 2925, -1986, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75132, -2277, 2890, -1695, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75172, -2407, 2644, -2454, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75213, -2281, 2089, -1917, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75253, -2815, 2052, -1950, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75294, -2759, 1435, -1779, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75334, -2680, 1889, -1544, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75374, -2470, 1581, -1450, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75414, -2679, 1953, -1404, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75454, -2885, 2062, -1638, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75494, -3035, 2090, -1364, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75534, -3121, 2111, -1612, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75574, -3120, 1310, -1272, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75614, -3509, 2019, -1564, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75654, -3548, 1869, -1302, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75694, -3494, 1866, -1313, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75734, -3350, 1598, -1155, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75774, -3398, 1715, -1262, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75814, -3349, 1786, -1146, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75854, -3389, 1855, -1190, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75895, -3288, 1751, -1260, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75935, -3224, 1798, -1017, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
75975, -3196, 1864, -1070, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76016, -3029, 1400, -1246, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76056, -3069, 1940, -1215, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76096, -3249, 1581, -1272, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76137, -3085, 1758, -1526, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76168, -3371, 1533, -1878, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76200, -3091, 1941, -1843, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76231, -3036, 1819, -1488, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76263, -3066, 3125, -1196, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76294, -3055, 2602, -1671, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76326, -2272, 3197, -872, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76357, -2200, 3732, -1412, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76389, -1828, 3446, -1844, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76420, -2131, 3413, -1430, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76452, -1657, 3513, -1812, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76484, -1395, 3185, -1105, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76524, -1556, 3674, -1953, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76565, -935, 2078, -1766, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76605, -1862, 5924, -2195, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76646, -1177, 3048, -1994, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76687, -819, 3967, -2331, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76727, -495, 4114, -2106, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76768, -1005, 3711, -1645, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76808, -760, 3528, -1837, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76849, -667, 3828, -2055, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76890, -841, 3447, -1633, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76935, -921, 3327, -1675, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
76980, -693, 3567, -1824, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
77025, -720, 3197, -1659, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
77070, -858, 3442, -1662, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
77115, -891, 3730, -1789, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, menggaruk, 
77160, -904, 3640, -1849, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77205, -917, 3582, -1836, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77250, -950, 3545, -1799, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77295, -926, 3686, -1899, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77340, -930, 3474, -1729, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77375, -987, 3609, -1831, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77410, -944, 3576, -1808, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77445, -840, 3493, -1821, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77480, -927, 3504, -1780, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77515, -950, 3555, -1787, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77550, -955, 3510, -1811, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77585, -968, 3546, -1797, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77620, -976, 3533, -1804, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77655, -992, 3522, -1811, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77690, -964, 3476, -1831, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77725, -968, 3482, -1797, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77760, -939, 3582, -1834, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77796, -964, 3590, -1802, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77832, -987, 3542, -1804, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77868, -951, 3567, -1816, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77904, -927, 3533, -1883, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77940, -947, 3526, -1818, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
77976, -958, 3502, -1844, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
78012, -948, 3615, -1852, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
78048, -952, 3609, -1823, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
78084, -950, 3531, -1892, 75, 0f58fcf9-3b62-4981-be14-6017875b0920, , berdiri, bersedekap, , 
