189444, -1068, 4039, -1034, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190831, -1149, 3818, -1037, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190862, -1122, 3818, -1046, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190894, -1066, 3830, -1063, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190925, -1067, 3787, -1116, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190956, -1054, 3785, -1037, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
190988, -1086, 3829, -1003, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191019, -1105, 3834, -1028, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191051, -1095, 3830, -1022, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191091, -1076, 3788, -1009, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191131, -1105, 3818, -1036, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191171, -1075, 3797, -1055, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191212, -1053, 3832, -1039, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191252, -1021, 3775, -1094, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191292, -1058, 3839, -1021, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191333, -1030, 3839, -1039, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191373, -1022, 3808, -1018, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191413, -1064, 3791, -1054, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191454, -1083, 3838, -1060, 102, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191494, -1084, 3785, -1029, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191535, -1038, 3860, -1087, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191575, -1048, 3834, -1026, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191616, -998, 3801, -1039, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191656, -1008, 3838, -1040, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191697, -1005, 3847, -1053, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191737, -1012, 3849, -1056, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191778, -1000, 3835, -1088, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191818, -1025, 3827, -1055, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191859, -1050, 3815, -1044, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191896, -1043, 3769, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191933, -1062, 3826, -982, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
191971, -1031, 3811, -1095, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192008, -1051, 3871, -1036, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192045, -1043, 3795, -1072, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192083, -1075, 3811, -1032, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192120, -1036, 3823, -1072, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192157, -1046, 3840, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192195, -1037, 3819, -1041, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192232, -1046, 3781, -1053, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192270, -1060, 3783, -1056, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192309, -1060, 3853, -1097, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192348, -1059, 3787, -1050, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192387, -1072, 3792, -1070, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192427, -1073, 3832, -1091, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192466, -1091, 3802, -1077, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192505, -1116, 3754, -1070, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192545, -1092, 3818, -1052, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192584, -1075, 3755, -1111, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192623, -1073, 3836, -1053, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192663, -1114, 3890, -1083, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192698, -1097, 3787, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192734, -1079, 3769, -1054, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192769, -1126, 3785, -1115, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192805, -1129, 3814, -1074, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192840, -1104, 3794, -1055, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192876, -1091, 3796, -1070, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192911, -1094, 3845, -1110, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192947, -1108, 3796, -1055, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
192982, -1092, 3806, -1081, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193018, -1118, 3816, -1063, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193054, -1115, 3805, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193095, -1080, 3781, -1084, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193137, -1127, 3805, -998, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193179, -1089, 3710, -1083, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193221, -1077, 3833, -1017, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193263, -1088, 3807, -1087, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193305, -1083, 3724, -1041, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193347, -1068, 3832, -1026, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193389, -1051, 3805, -1133, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193431, -1083, 3795, -1072, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193473, -1082, 3805, -1064, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193511, -1082, 3836, -1091, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193549, -1035, 3789, -1063, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193587, -1055, 3808, -1093, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193625, -1061, 3812, -1073, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193663, -1070, 3809, -1087, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193701, -1080, 3780, -1117, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193739, -1089, 3819, -1037, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193777, -1042, 3802, -1178, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193815, -1044, 3844, -1078, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193854, -1031, 3846, -1126, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193893, -1021, 3814, -1142, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193933, -998, 3797, -1107, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
193972, -995, 3817, -1128, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194012, -1025, 3798, -1074, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194052, -1034, 3856, -1089, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194091, -1042, 3818, -1101, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194131, -1036, 3773, -1086, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194171, -1034, 3789, -1087, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194210, -1029, 3807, -1109, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194250, -1029, 3814, -1100, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194290, -1029, 3772, -1101, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194326, -1022, 3836, -1043, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194362, -1001, 3807, -1149, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194398, -1028, 3849, -1062, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194434, -1048, 3814, -1046, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194471, -1094, 3829, -1111, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194507, -1048, 3799, -1100, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194543, -1021, 3802, -1085, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194579, -1055, 3796, -1042, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194615, -1007, 3852, -1073, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194652, -1039, 3811, -1069, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194688, -1022, 3796, -1057, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194725, -1017, 3848, -1091, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194761, -1052, 3843, -1091, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194798, -1043, 3840, -1042, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194834, -1050, 3811, -1106, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194871, -1065, 3814, -1037, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194907, -1035, 3784, -1104, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194944, -1048, 3840, -1056, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
194980, -1067, 3841, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195017, -1077, 3802, -1081, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195054, -1077, 3771, -980, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195097, -1045, 3824, -1119, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195140, -1081, 3823, -1033, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195184, -1067, 3823, -1033, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195227, -1065, 3809, -1038, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195271, -1081, 3765, -1041, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195314, -1078, 3826, -1042, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195357, -1056, 3824, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195401, -1094, 3783, -999, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195444, -1102, 3742, -1018, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195488, -1091, 3771, -1030, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195524, -1047, 3756, -1070, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195560, -1077, 3798, -1033, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195596, -1093, 3815, -1096, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195633, -1083, 3811, -1039, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195669, -1114, 3840, -1053, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195705, -1094, 3828, -1089, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195742, -1103, 3810, -1036, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195778, -1099, 3810, -1054, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195814, -1099, 3801, -1035, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195851, -1103, 3818, -1032, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195889, -1109, 3813, -1035, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195927, -1075, 3818, -1093, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
195965, -1045, 3751, -1100, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196003, -1144, 3840, -976, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196041, -1120, 3824, -1117, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196079, -1070, 3816, -1034, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196117, -1095, 3826, -1069, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196155, -1107, 3783, -1088, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196193, -1064, 3792, -1029, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196231, -1091, 3836, -1101, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196269, -1099, 3792, -1037, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196309, -1086, 3797, -1047, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196350, -1098, 3792, -1044, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196390, -1082, 3834, -1054, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196431, -1071, 3793, -1042, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196471, -1076, 3794, -1085, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196512, -1115, 3772, -1024, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196552, -1104, 3786, -1069, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196593, -1085, 3823, -1089, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196633, -1082, 3828, -1039, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196674, -1057, 3828, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196712, -1081, 3757, -1090, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196750, -1067, 3753, -1026, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196788, -1082, 3870, -1082, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196826, -1053, 3842, -1059, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196864, -1048, 3786, -1063, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196902, -1059, 3820, -1057, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196940, -1078, 3830, -1074, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
196978, -1072, 3842, -1074, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197016, -1062, 3790, -1036, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197054, -1087, 3814, -1057, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197090, -1051, 3793, -1102, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197126, -1101, 3818, -1027, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197163, -1038, 3802, -1141, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197199, -1063, 3835, -1052, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197235, -1084, 3815, -1111, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197272, -1052, 3794, -1085, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197308, -1063, 3826, -1065, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197344, -1062, 3818, -1099, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197381, -1044, 3804, -1029, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197417, -1079, 3773, -1057, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197454, -1054, 3785, -1067, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197493, -1062, 3840, -1075, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197532, -1063, 3824, -1090, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197571, -1044, 3801, -1077, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197610, -1053, 3762, -1073, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197649, -1092, 3721, -979, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197688, -1071, 3848, -1123, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197727, -1044, 3865, -1039, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197766, -1040, 3804, -1066, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197805, -1043, 3749, -1063, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197844, -1052, 3829, -1078, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197882, -1063, 3803, -1173, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197921, -1065, 3753, -1035, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197960, -1069, 3807, -1078, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
197999, -1089, 3820, -1114, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198038, -1086, 3799, -1068, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198076, -1032, 3793, -1119, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198115, -1076, 3815, -1095, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198154, -1081, 3757, -1057, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198193, -1085, 3805, -1108, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198232, -1095, 3762, -1049, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198271, -1053, 3827, -1105, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198309, -1076, 3769, -1090, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198347, -1067, 3782, -1124, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198385, -1070, 3773, -1088, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198423, -1090, 3803, -1107, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198462, -1074, 3771, -1098, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
198500, -1070, 3790, -1055, 103, 2a04069d-ca60-48da-9479-185c26f96f7a, , berdiri, bersedekap, , 
