14652, -1102, 3827, -1022, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15679, -1033, 3881, -987, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15713, -995, 3874, -1092, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15748, -1058, 3812, -1013, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15783, -1023, 3806, -1108, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15818, -1041, 3804, -998, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15853, -1075, 3836, -1069, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15896, -1067, 3793, -1080, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15940, -1031, 3837, -1061, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
15984, -1033, 3833, -1062, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16028, -1011, 3757, -1045, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16072, -1038, 3812, -1070, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16115, -1071, 3754, -1098, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16159, -1030, 3844, -1154, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16203, -1057, 3795, -1112, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16247, -1038, 3775, -1105, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16291, -1008, 3870, -1158, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16328, -941, 3784, -1066, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16366, -989, 3844, -1134, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16404, -996, 3793, -1103, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16442, -966, 3811, -1085, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16480, -990, 3803, -1151, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16517, -977, 3816, -1074, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16555, -991, 3890, -1084, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16593, -982, 3798, -1085, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16631, -994, 3784, -1088, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16669, -989, 3831, -1089, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16707, -1034, 3834, -1054, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16741, -1032, 3847, -1083, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16776, -993, 3812, -1066, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16810, -953, 3782, -1076, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16845, -984, 3829, -1065, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16879, -1015, 3805, -1072, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16914, -973, 3828, -1027, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16948, -981, 3879, -1057, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
16983, -984, 3834, -1013, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17017, -1009, 3865, -1037, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17052, -1029, 3895, -992, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17092, -982, 3832, -1013, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17133, -1029, 3855, -983, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17174, -1018, 3885, -1008, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17215, -981, 3798, -1062, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17256, -983, 3852, -901, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
17296, -1004, 3956, -1041, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17337, -1042, 3897, -909, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17378, -977, 3761, -1012, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17419, -1144, 3695, -973, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17460, -1040, 3872, -937, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17501, -1057, 3959, -957, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17535, -1025, 3945, -918, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17569, -1001, 3797, -900, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17604, -1060, 3786, -913, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17638, -1026, 3801, -926, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17673, -1070, 3852, -930, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17707, -1070, 3876, -855, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17741, -997, 3918, -973, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17776, -1136, 3848, -848, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17810, -1057, 3829, -809, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17845, -1026, 3867, -846, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17889, -1092, 3841, -856, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17933, -1101, 3797, -845, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
17977, -1058, 3789, -856, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18021, -1092, 3814, -776, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18065, -1156, 3938, -786, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18109, -1147, 3928, -814, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18153, -1111, 3894, -707, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18197, -1083, 3878, -767, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18241, -1118, 3841, -756, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18285, -1208, 3843, -771, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18318, -1139, 3938, -715, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18352, -1067, 3929, -859, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18386, -1118, 3903, -660, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18420, -1151, 3868, -752, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18454, -1192, 3865, -711, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18487, -1168, 3851, -711, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18521, -1194, 3896, -695, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18555, -1154, 3801, -659, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18589, -1155, 3869, -677, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18623, -1224, 3830, -746, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18657, -1172, 3828, -639, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18696, -1139, 3900, -664, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18736, -1466, 3838, -668, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18776, -1341, 3815, -667, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18815, -1210, 3812, -607, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18855, -1111, 3873, -760, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18895, -1180, 3812, -604, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18934, -1277, 3811, -670, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
18974, -1214, 3821, -776, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19014, -1239, 3984, -608, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19054, -1312, 3904, -691, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19099, -1187, 3893, -671, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19144, -1228, 3893, -656, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19189, -1251, 3842, -678, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19234, -1207, 3802, -681, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19279, -1219, 3906, -697, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19324, -1223, 3887, -756, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19369, -1183, 3840, -716, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19414, -1162, 3857, -761, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19459, -1234, 3844, -695, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19504, -1189, 3789, -699, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19536, -1176, 3876, -761, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19568, -1192, 3793, -732, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19600, -1181, 3797, -732, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19632, -1168, 3792, -764, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19664, -1165, 3755, -746, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19696, -1167, 3797, -773, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19728, -1190, 3827, -762, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19760, -1202, 3850, -819, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19792, -1206, 3851, -792, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19824, -1160, 3834, -803, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19856, -1160, 3797, -827, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19899, -1096, 3755, -911, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19942, -1244, 3912, -748, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
19985, -1127, 3887, -900, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20029, -1152, 3854, -779, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20072, -1142, 3801, -888, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20115, -1131, 3794, -892, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20159, -1166, 3818, -898, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20202, -1123, 3854, -935, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20245, -1141, 3795, -897, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20289, -1139, 3847, -918, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20323, -1100, 3846, -932, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20358, -1121, 3810, -949, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20393, -1079, 3834, -949, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20427, -1065, 3827, -959, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20462, -1082, 3801, -971, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20497, -1133, 3867, -885, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20532, -1037, 3891, -1070, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20566, -1071, 3814, -904, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20601, -1096, 3819, -1033, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20636, -1095, 3823, -1031, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20671, -1077, 3842, -969, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20709, -1058, 3857, -1033, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20747, -1069, 3804, -1014, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20786, -1090, 3808, -998, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20824, -1069, 3831, -1020, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20863, -1055, 3852, -1041, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
20901, -1067, 3830, -1007, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
20939, -1035, 3811, -1019, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
20978, -1075, 3807, -967, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21016, -1043, 3821, -1060, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21055, -1069, 3828, -1009, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21094, -1068, 3813, -966, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21133, -1053, 3861, -1000, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21172, -1080, 3797, -1016, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21211, -1060, 3847, -996, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, , 
21250, -1030, 3850, -1041, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21289, -1089, 3850, -957, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21328, -1077, 3844, -979, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21367, -1078, 3814, -995, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21406, -1080, 3805, -966, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21446, -1101, 3832, -955, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21483, -1099, 3869, -975, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21520, -1070, 3851, -951, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21557, -1040, 3828, -1035, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21595, -1077, 3858, -895, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21632, -1057, 3840, -925, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21669, -1086, 3862, -902, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21706, -1106, 3882, -928, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21744, -1101, 3800, -907, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21781, -1114, 3839, -916, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21818, -1105, 3849, -882, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21856, -1184, 3813, -913, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21901, -1130, 3845, -877, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21946, -1127, 3872, -861, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
21991, -1118, 3815, -874, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22036, -1142, 3787, -854, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22082, -1131, 3822, -885, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22127, -1155, 3822, -944, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22172, -1194, 3827, -832, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22217, -1109, 3805, -850, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22262, -1090, 3930, -871, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22308, -1163, 3899, -904, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22338, -1150, 3880, -880, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22369, -1109, 3831, -924, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22400, -1117, 3832, -928, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22430, -1131, 3831, -922, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22461, -1134, 3837, -940, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22492, -1086, 3767, -937, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22523, -1132, 3851, -923, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22553, -1131, 3889, -943, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22584, -1118, 3839, -880, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
22615, -1129, 3776, -919, , a0ca59db-a7e2-4259-971c-54bce5e4c6a3, , berdiri, bersedekap, berdiri_tidak_stabil, 
