332414, 3050, -1309, -2403, 83, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333026, 3387, -1139, -2062, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333067, 3442, -1178, -2125, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333109, 3568, -1051, -1567, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333151, 3455, -1129, -1316, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333193, 3236, -2105, -2782, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333235, 3517, -2153, -3018, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333274, 4003, -1421, -3115, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333314, 4182, -1243, -2362, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333353, 4018, -359, -1849, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333393, 4134, -398, -1283, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333433, 4925, 47, -1837, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333472, 3868, -975, -1833, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333512, 3758, -811, -1550, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333551, 3645, -796, -1423, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333591, 3583, -771, -1353, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333631, 3824, -584, -880, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333665, 3808, -412, -682, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333700, 3753, -251, -716, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333735, 3714, -168, -381, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333770, 3723, 88, -396, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333805, 3731, 108, -379, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333840, 3924, 264, -341, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333875, 4006, 473, -463, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333910, 4075, 584, -570, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333945, 4305, 1009, -377, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
333980, 4481, 1337, -220, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334015, 4503, 1581, -143, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334060, 4637, 1791, -163, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334106, 4543, 2386, -300, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334152, 4529, 2500, -153, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334197, 4313, 3331, 45, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334243, 3914, 3053, 375, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334289, 3348, 3688, 778, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334334, 2509, 3564, 1190, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334380, 1892, 3465, 1348, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334426, 951, 3234, 1663, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334472, 412, 3408, 1817, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334504, -286, 2750, 1975, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334537, -782, 3032, 2197, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334569, -1505, 1980, 1880, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334602, -1747, 2686, 2469, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334635, -2481, 981, 1684, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334667, -2685, 1868, 2007, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334700, -3059, 793, 1716, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334733, -3326, 613, 1539, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334765, -3263, 210, 1421, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334798, -3428, -249, 1210, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334831, -3376, -502, 1054, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334871, -3395, -785, 871, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334911, -3412, -1144, 671, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334951, -3450, -1406, 423, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
334991, -3421, -1227, 519, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335031, -3227, -1782, 119, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335071, -3123, -2273, -139, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335111, -2926, -2256, -151, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335151, -2831, -2574, -381, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335191, -2754, -2572, -459, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335231, -2387, -2588, -475, 85, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335269, -2580, -2472, -383, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335308, -2476, -2179, -225, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335347, -2202, -1870, -367, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335386, -2115, -1649, -403, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335425, -1995, -1126, -140, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335463, -1662, -983, 332, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335502, -1237, -253, 907, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335541, -431, 484, 2210, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335580, -105, 2380, 2063, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335619, 1128, 3609, 1896, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335655, 2468, 4421, 2502, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335692, 3016, 3607, 1612, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335729, 5336, 3130, 1920, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335766, 5779, 2978, 1587, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335803, 7806, 2041, -9, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335840, 7653, 1447, 34, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335877, 7034, 1920, -801, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335914, 5417, 1897, -841, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335951, 4275, 1769, -857, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
335988, 4328, 1465, -747, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336025, 4191, 1322, -669, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336063, 3877, 1345, -670, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336102, 3643, 1100, -780, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336141, 4071, 972, -510, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336180, 4096, 148, -496, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336219, 4113, 26, -343, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336258, 4000, -226, -402, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336297, 4086, -79, -403, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336336, 4125, -136, -388, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
336375, 4170, 19, -483, 84, b3f437a1-cda8-4223-a7cd-ade7de1d7513, , transisi, transisi_ruku_ke_iktidal, , 
