107957, 2862, -1869, -2280, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110419, -303, 2760, 2044, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110462, -781, 1198, 1893, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110506, -1098, 826, 1313, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110550, -1388, -160, 1293, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110594, -2211, -1351, 205, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110635, -3211, -4329, -1683, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110676, -2474, -1306, 7, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110717, -2629, -1342, 110, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110759, -2966, -1343, 388, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110800, -3110, -1302, 723, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110841, -3287, -1190, 453, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110883, -2890, -1684, 306, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110924, -2426, -1261, 378, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
110965, -1831, -662, 445, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111007, -947, -50, 960, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111042, -216, 1386, 1985, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111077, 286, 1429, 1980, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111113, 1570, 3895, 2686, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111148, 2283, 2192, 1766, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111184, 3379, 4769, 2697, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111219, 4002, 1572, 1731, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111255, 5874, 1673, 910, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111290, 8611, -69, 751, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111326, 10058, 1424, -919, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111361, 7773, 3184, -1590, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111397, 4322, 2549, -1023, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111432, 4152, 2305, -1238, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111467, 4380, 1758, -896, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111502, 4327, 1133, -758, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111537, 3729, 1032, -465, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111572, 3182, 1412, -1077, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111607, 3581, 1570, -1596, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111642, 3961, 1597, -1647, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111677, 4197, 1130, -1425, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111712, 4373, 1294, -885, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111748, 6098, -1641, 5516, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111788, 3776, -1351, 505, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111828, 3636, 1484, -1477, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111869, 4289, -1026, -335, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111909, 4510, -1578, -26, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111949, 4224, -1217, -56, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
111990, 3970, -539, -508, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112030, 3863, 109, -486, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112070, 4130, 466, -416, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112111, 4168, 487, -326, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112151, 4184, 406, -107, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112192, 4144, 255, -84, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112229, 4173, -56, -132, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112266, 4164, -110, -275, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
112303, 4113, -243, -322, 106, ab172c76-6ec7-4258-99aa-af0f6754da96, , transisi, transisi_ruku_ke_iktidal, , 
