517829, 3212, 682, -2621, 83, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519852, -601, 2573, 2203, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519885, -1270, 2058, 2181, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519919, -1690, 2037, 2052, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519952, -2172, 1612, 1984, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
519985, -2512, 1265, 1982, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520018, -2880, 858, 1822, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520051, -3071, 635, 1579, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520085, -3286, -284, 1350, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520125, -3522, -155, 1354, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520165, -3631, -838, 1065, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520205, -3600, -1128, 781, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520245, -3453, -1209, 794, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520285, -3623, -1691, 479, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520325, -3298, -1961, 248, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520365, -3151, -2161, 209, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520405, -3070, -2199, 69, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520445, -2866, -2428, -209, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520486, -2801, -2393, -495, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520522, -2523, -2590, -528, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520559, -2309, -2716, -606, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520596, -1719, -2727, -662, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520633, -1274, -2486, -531, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520670, -1001, -2077, -477, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520707, -710, -1701, -447, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520744, -256, -1187, -296, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520781, 524, -62, 222, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520818, 1511, 1339, 1701, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520855, 2177, 3641, 3197, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520892, 2530, 3616, 2578, 82, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520935, 5335, 6157, 3988, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
520978, 6422, 3042, 1708, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521021, 8520, 2339, 2063, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521064, 11541, 1265, 2413, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521107, 9710, 2357, -1054, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521150, 4478, 3821, -999, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521193, 3863, 1258, -749, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521236, 4750, 2301, -1399, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521279, 4426, 2298, -636, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521323, 3166, 1575, 494, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521357, 2726, 1360, 291, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521392, 3263, 1816, -310, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521426, 4247, 1867, -435, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521461, 4773, 1445, -116, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521495, 4702, 921, -76, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521530, 4988, 332, 790, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521564, 5028, -2852, 1433, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521599, 4136, -2556, 421, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521633, 4027, -766, 391, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521668, 4299, -110, -74, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521703, 4260, 167, -177, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521742, 4108, 265, -189, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521781, 3862, 716, -100, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
521820, 3819, 687, 57, 81, 937a4ce7-972c-464e-a147-8ddee9accff1, , transisi, transisi_ruku_ke_iktidal, , 
