400776, 2988, -1252, -2573, 79, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401703, 3304, 184, -1302, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401746, 3350, -205, -1325, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401788, 3270, 93, -1442, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401831, 3418, 193, -1174, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401874, 3555, 40, -1255, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401917, 3589, 237, -1198, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
401959, 3625, 288, -769, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402002, 3807, 250, -586, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402045, 3947, 411, -403, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402088, 4164, 479, -403, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402121, 4360, 788, -575, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402154, 4214, 806, -479, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402187, 4166, 740, -366, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402220, 4125, 933, -272, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402253, 4035, 829, -144, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402286, 4375, 1564, -323, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402319, 4357, 1611, -9, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402352, 4365, 2289, -414, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402385, 4291, 2266, -108, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402419, 3939, 2831, -58, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402459, 3824, 3162, 87, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402499, 3386, 3394, 189, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402539, 2977, 3937, 522, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402579, 2327, 3881, 793, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402619, 1611, 3781, 990, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402659, 949, 3930, 1404, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402699, 321, 3522, 1588, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402739, -311, 3452, 1757, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402779, -906, 3213, 1800, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402819, -1130, 3275, 1943, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402855, -1515, 3116, 2041, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402892, -1757, 2503, 1959, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402929, -2236, 2422, 1887, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
402966, -2464, 2191, 1820, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403003, -2841, 1540, 1609, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403039, -3160, 1285, 1632, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403076, -3314, 813, 1278, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403113, -3298, 164, 952, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403150, -3410, -271, 919, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403187, -3356, -683, 779, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403224, -3322, -921, 803, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403268, -3207, -1404, 449, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403312, -3292, -1532, 438, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403356, -3179, -1641, 538, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403400, -3126, -1702, 218, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403444, -3099, -2322, 77, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403488, -3006, -2559, 80, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403532, -2748, -2338, -45, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403576, -2366, -2454, -200, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403620, -1989, -2240, -219, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403665, -1764, -1944, -413, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403698, -1594, -1538, -318, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403732, -1338, -1094, -215, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403765, -939, -543, 97, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403799, -300, 352, 987, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403833, 577, 2089, 1925, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403866, 1469, 4475, 3126, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403900, 1664, 4324, 2967, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403934, 2908, 4531, 2306, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
403967, 3994, 3398, 1008, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404001, 5641, 2626, 971, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404035, 7832, 2884, 567, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404073, 8402, 2365, 563, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404111, 7935, 2702, -470, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404149, 4940, 2176, -909, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404187, 3522, 2090, -1188, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404225, 3805, 2093, -1219, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404263, 4171, 1063, -649, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404301, 3787, 731, -217, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404339, 3658, 486, -20, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404377, 3654, 1104, -613, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404415, 4241, 1873, -740, 78, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404457, 4495, 978, -352, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404499, 4334, 222, -165, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404541, 4126, 223, -283, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404583, 4065, 270, -474, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404625, 4144, 50, -458, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404667, 4199, -15, -368, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404709, 4129, 192, -470, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404751, 4034, 170, -335, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404793, 3981, 451, -379, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404836, 3996, 554, -364, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404873, 4092, 578, -285, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404910, 4066, 700, -255, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
404948, 4054, 743, -161, 80, 486d5ee3-b2ae-4595-b3bc-6920c54145f5, , transisi, transisi_ruku_ke_iktidal, , 
