165030, 3822, 605, -1527, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165592, 4213, 14, -1242, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165633, 4182, 72, -1172, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165674, 3994, 165, -960, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165715, 3874, 44, -1128, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165756, 3687, 760, -770, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165797, 3669, 473, -655, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165838, 3553, 816, -541, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165879, 3452, 880, 166, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165920, 3376, 1318, 391, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
165961, 3398, 1782, 410, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166003, 3339, 1870, 578, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166037, 3792, 2385, 528, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166072, 4281, 2334, 884, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166107, 4368, 3089, 1084, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166142, 4392, 3882, 1390, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166177, 4406, 4471, 1530, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166211, 4359, 4536, 1795, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166246, 3975, 4914, 2150, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166281, 3294, 4431, 2219, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166316, 2295, 3830, 2532, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166351, 1500, 3126, 2184, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166386, 463, 2843, 1875, 75, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166431, -144, 1901, 1466, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166476, -1186, 1371, 1062, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166521, -1558, 477, 769, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166566, -2250, -33, 342, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166611, -2551, -628, 300, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166656, -2965, -1164, 320, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166701, -3097, -1539, 372, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166746, -3368, -1715, 361, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166791, -3490, -1567, 794, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166837, -3602, -1475, 955, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166871, -3667, -1222, 1069, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166906, -3768, -1032, 1012, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166941, -3770, -1122, 1034, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
166976, -3815, -1118, 986, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167011, -3703, -1187, 862, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167045, -3499, -1263, 748, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167080, -3292, -1337, 575, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167115, -2832, -1527, 281, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167150, -2296, -1653, 95, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167185, -1617, -1027, 372, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167221, -1179, -688, 768, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167257, -661, 13, 1097, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167294, -523, 518, 1662, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167330, 23, 1712, 2726, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167367, 1410, 5441, 3409, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167403, 1501, 4113, 3666, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167440, 2619, 5861, 3479, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167476, 2581, 4663, 2970, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167513, 2906, 2748, 2689, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167549, 3110, 4745, 2496, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167586, 3318, 2262, 2487, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167625, 3522, 3117, 1996, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167664, 3482, 2541, 1921, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167703, 3904, 2374, 1695, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167742, 4123, 2857, 1567, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167781, 4140, 2710, 932, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167820, 3689, 4268, 872, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167859, 3618, 2063, 792, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167898, 3802, 1422, 950, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167937, 3691, 1571, 802, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
167976, 3673, 1952, 655, 76, 64af9b41-1f76-44d2-9827-a80628d0e937, , transisi, transisi_ruku_ke_iktidal, , 
