213382, 3295, -1439, -2131, 94, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214414, 4113, 764, 187, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214453, 4142, 1021, -8, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214492, 3989, 1466, -165, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214531, 3928, 1192, 207, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214571, 3869, 1953, -69, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214610, 4026, 1763, 794, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214649, 4131, 2110, 158, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214688, 3755, 1999, 980, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214727, 3581, 2873, 781, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214767, 3585, 4092, 805, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214803, 3568, 3925, 873, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214840, 3627, 5046, 1018, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214876, 3663, 4583, 1380, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214913, 3183, 4983, 1507, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214949, 2577, 4696, 1322, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
214986, 1547, 4058, 1415, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215022, 368, 2936, 1694, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215059, -625, 1856, 1462, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215095, -1506, 1109, 1618, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215132, -2410, 343, 1314, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215169, -3112, -321, 1669, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215211, -3029, -917, 1720, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215253, -1992, -1194, 1180, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215295, -1242, -2097, 288, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215337, -726, -2274, -46, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215379, -273, -3788, -776, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215421, -539, -3589, -657, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215463, -389, -3332, -275, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215505, -359, -2634, -332, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215547, -73, -1913, -87, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215589, 320, -947, 167, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215626, 1051, -173, 199, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215664, 2235, 2927, 745, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215701, 2113, 3433, 1326, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215739, 5016, 5273, 1660, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215777, 6055, 8152, 3090, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215814, 6107, 5105, 1491, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215852, 8872, 2213, 1163, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215889, 10164, 4901, -1743, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215927, 6162, 3854, -1811, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
215965, 4370, 2758, -1497, 96, f0555ecf-1590-447f-a5c1-b3f9a19a60ca, , transisi, transisi_ruku_ke_iktidal, , 
