74704, 3631, 66, -2146, 93, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76378, -624, -1322, 89, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76412, -1336, -1437, -129, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76445, -2205, -1858, -122, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76478, -2799, -2250, -52, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76511, -3050, -2300, -110, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76544, -2946, -2637, -76, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76578, -2791, -2885, -190, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76619, -2497, -2890, -234, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76660, -2312, -2926, -114, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76702, -2014, -2688, -147, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76743, -1662, -2612, -431, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76785, -1404, -2416, -650, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76826, -1067, -2465, -1004, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76867, -942, -1938, -1285, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76909, -417, -1582, -1225, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76950, 171, -1088, -998, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
76992, 1366, -869, -471, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77028, 3792, 983, 179, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77064, 6325, 3942, 975, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77100, 8482, 3161, 207, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77136, 11392, 3912, 165, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77172, 13044, 4184, 393, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77209, 12209, 4020, 860, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77245, 8111, 2476, 202, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77281, 6272, 2929, -319, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77317, 5260, 1570, -73, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77353, 4985, 1103, 776, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77390, 4553, 1102, 1616, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77433, 4023, 1220, 1514, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77477, 3863, 1088, 1008, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77520, 3860, 1263, 632, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77564, 3974, 1308, 326, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77607, 4152, 720, 347, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77651, 4803, 1007, 200, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77694, 4518, -4765, -2930, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77738, 2423, -865, -5344, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77781, 4641, 367, -1958, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77825, 4323, 6, -529, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
77860, 4690, -15, 779, 94, 43c48071-300f-4245-8f8c-22eebfc7e707, , transisi, transisi_ruku_ke_iktidal, , 
