237703, 3343, -944, -2247, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238846, 3949, 3177, 726, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238886, 3272, 3901, 785, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238926, 2698, 4008, 877, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
238963, 2097, 4164, 950, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239001, 1559, 4539, 1170, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239039, 966, 4475, 1357, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239077, 318, 4100, 1389, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239115, -354, 3455, 1278, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239153, -946, 2748, 1275, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239190, -1598, 1691, 966, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239228, -1910, 1062, 1153, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239266, -2356, 402, 866, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239304, -2509, -253, 1062, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239342, -2559, -1011, 833, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239380, -2678, -1742, 567, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239418, -2433, -2206, 394, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239457, -2196, -2369, 404, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239496, -1900, -2828, 81, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239535, -1673, -3044, -20, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239574, -1192, -3097, -84, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239613, -869, -2631, -49, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239652, -813, -2068, 39, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239692, -418, -1318, 332, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239731, 117, -347, 391, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239770, 1079, 20, 568, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239809, 1969, 3735, 149, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239848, 3037, 4924, 1685, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239887, 3225, 6004, 601, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239927, 5589, 4284, 1603, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
239968, 7057, 5087, 84, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240009, 9523, 3439, 161, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240051, 10763, 3745, 10, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240092, 6238, 4349, -786, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240133, 3298, 2126, -890, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240175, 4085, 1162, -633, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240216, 3518, 2947, -1118, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240258, 3755, 1961, -531, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240299, 3835, 1662, -344, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240340, 3754, 1283, -375, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240382, 4179, 1219, -451, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240423, 4732, -193, 1540, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240465, 4250, -562, 1255, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240501, 4232, -815, 287, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240538, 4074, 78, -481, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240575, 4492, -885, -42, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240611, 4211, -522, 24, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240648, 4179, 3, 249, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240685, 4063, 625, 81, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240721, 3956, 876, -49, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240758, 4142, 806, 113, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240795, 4128, 518, 233, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240831, 4029, 759, 254, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240868, 4035, 481, 294, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240905, 4041, 513, 290, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240942, 4097, 634, 277, 94, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
240983, 4064, 760, 266, 93, 4130db9e-9f34-4a84-a4cf-319b7be48b25, , transisi, transisi_ruku_ke_iktidal, , 
