73231, 3057, -701, -2685, 88, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76208, 4210, 2210, -951, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76249, 4782, 1817, 185, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76291, 5639, -3602, 2341, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76333, 4197, 467, -124, 91, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76370, 3753, 765, -1039, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76407, 4216, 950, -1005, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76444, 4438, 1145, -667, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76481, 4255, 738, -727, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76518, 3852, 1069, -527, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76555, 3617, 1123, -641, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76592, 3610, 626, -603, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76629, 3596, 1714, -380, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76666, 3804, 1895, -424, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76704, 3933, 1710, -176, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76745, 3837, 1370, -36, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76786, 3926, 1781, 92, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76827, 3878, 1728, 176, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76868, 3848, 1579, 192, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76909, 3812, 1679, 54, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76950, 3706, 1816, -131, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
76991, 3697, 1811, -205, 93, 11b0851e-1aa1-4df5-9898-76fad9d1b6a0, , transisi, transisi_ruku_ke_iktidal, , 
