49771, 2803, -1483, -2637, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51010, 4866, 984, 491, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51050, 4975, 2200, 217, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51089, 5066, 1633, 1119, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51129, 4778, 2915, 802, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51168, 4787, 2861, 1621, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51207, 4425, 3445, 1799, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51247, 4519, 3952, 2479, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51286, 3451, 4541, 2500, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51326, 2960, 4562, 3049, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51367, 2072, 4292, 3068, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51409, 1505, 3542, 2388, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51450, -284, 2310, 2129, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51492, -37, 1103, 1193, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51534, -718, -143, 438, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51575, -1852, -897, 56, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51617, -329, -1785, -372, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51658, -185, -2142, -473, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51700, -753, -3399, -1552, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51742, 137, -3169, -1083, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51777, -802, -4576, -1735, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51812, -621, -4834, -1631, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51848, -1063, -4309, -1356, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51883, -1542, -3942, -1149, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51919, -1441, -3828, -1299, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51954, -1877, -3255, -899, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
51990, -2140, -2877, -688, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52025, -2115, -2213, -215, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52061, -2424, -1471, 382, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52096, -1839, -874, 876, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52132, -1858, 90, 1711, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52180, -1446, -467, 1347, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52229, -149, 2399, 2194, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52277, 103, 1654, 2302, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52326, 1680, 2424, 2708, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52374, 2116, 2820, 2616, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52423, 2756, 2009, 2174, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52471, 4447, 2768, 1816, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52520, 5501, 1842, 1827, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52568, 7016, 1850, 892, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52617, 7337, 1096, 1097, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52645, 7119, 2726, 45, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52673, 6101, 1588, -210, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52701, 6345, 1185, -276, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52729, 5757, 2049, -668, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52757, 5394, 2100, -544, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52786, 4450, 2372, -641, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52814, 3862, 2030, -738, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52842, 3887, 2346, -720, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52870, 3728, 1861, -836, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52898, 3680, 1790, -968, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52927, 3924, 1112, -658, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
52968, 3984, 1029, -922, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53010, 4162, 736, -669, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53052, 4943, 1867, 1005, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53094, 3618, -2735, 1753, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53136, 3788, -602, -357, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53178, 3937, -714, -529, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53220, 4336, -1183, -369, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53262, 4199, -1052, -138, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53304, 4321, -777, -186, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53346, 4064, 424, -461, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53385, 4047, 507, -563, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53425, 4005, 582, -569, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53465, 4142, 416, -455, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53505, 4186, 137, -258, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
53545, 4118, 158, -250, 101, 0c645451-e36e-4602-a4a4-a54aab1c385a, , transisi, transisi_ruku_ke_iktidal, , 
