446839, 3426, 557, -2328, 69, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449636, -2485, -2612, -428, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449673, -2227, -2665, -413, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449711, -1979, -2594, -438, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449752, -1669, -2523, -404, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449794, -1460, -2110, -466, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449835, -1135, -1730, -505, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449877, -728, -1161, -360, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449918, -29, -281, 134, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
449960, 787, 834, 924, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450001, 1304, 2595, 1112, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450043, 2941, 5386, 3939, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450084, 2339, 4143, 1992, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450126, 4693, 2796, 1320, 72, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450158, 7140, 2313, 1300, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450191, 12023, -30, 1006, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450224, 15916, 2924, -3044, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450256, 3228, 6551, -1655, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450289, 2164, -189, -201, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450322, 4241, 1657, -868, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450355, 5350, 2608, -1356, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450387, 4740, 1666, 196, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450420, 2567, 470, 793, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450453, 2490, 1705, -13, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450486, 3618, 1656, -361, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450528, 4705, 1549, -274, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450570, 5075, 1280, -298, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450612, 4604, 1365, -308, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450654, 5267, 1423, 671, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450696, 4809, -2590, 770, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450738, 4016, -1324, 260, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450780, 4212, -891, 399, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450822, 4170, -99, 40, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450864, 3964, 638, -270, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
450907, 3945, 253, -394, 73, 73bc0f5d-cbb8-4081-a3cd-b549be2ea214, , transisi, transisi_ruku_ke_iktidal, , 
