51362, 3112, -611, -2877, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52462, 4245, -201, -1258, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52497, 3749, 515, -1391, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52531, 3617, 521, -1142, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52566, 3703, 444, -840, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52601, 3748, 857, -83, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52635, 3632, 1133, 1116, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52670, 3469, 1530, 738, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52705, 4008, 757, 935, 83, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52746, 5151, 1488, 117, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52788, 5096, 1354, 47, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52830, 4436, 2018, 99, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52871, 4046, 3021, 476, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52913, 4083, 2833, 923, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52955, 4040, 3079, 1535, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
52996, 3747, 3321, 495, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53038, 2886, 3526, 96, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53080, 2166, 3470, 879, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53122, 1194, 3476, 1469, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53154, 487, 2867, 1683, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53186, -474, 3027, 1765, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53218, -1207, 2732, 2086, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53250, -2018, 2047, 2169, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53282, -2526, 1765, 2367, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53315, -3054, 1135, 1968, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53347, -3318, 836, 1767, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53379, -3626, 267, 1611, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53411, -3678, 124, 1503, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53443, -3458, -152, 1473, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53476, -2476, -520, 703, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53515, -1646, -1509, -304, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53554, -942, -2818, -1066, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53593, -879, -3388, -1084, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53632, -504, -3443, -804, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53672, -200, -3346, -507, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53711, -24, -2177, -98, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53750, 304, -1320, 151, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53789, 639, -455, -65, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53828, 1974, 1250, 368, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53868, 2512, 3422, 1521, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53908, 4046, 5144, 2252, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53948, 4973, 2893, 1545, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
53988, 8125, 4070, 1801, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54028, 10204, 3764, 470, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54068, 12771, 3850, -204, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54108, 8961, 4078, -2522, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54148, 3306, 2661, -1565, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54188, 3378, 2733, -996, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54228, 4204, 2445, -1279, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54269, 4643, 1802, -355, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54306, 3423, 1848, -42, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54343, 2928, 1599, -147, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54380, 3324, 1754, -840, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54417, 4017, 1709, -742, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54454, 4385, 1716, -733, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54491, 5137, 1530, 422, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54528, 5402, -3258, 1917, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54565, 4341, -1270, 411, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54602, 3904, 27, -375, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
54639, 4095, 56, -839, 85, 1205d9a3-f9bb-4e0b-b016-de237266e13e, , transisi, transisi_ruku_ke_iktidal, , 
