210551, 3655, -487, -1855, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211427, 3709, 657, 326, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211465, 3919, 1322, 260, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211504, 4110, 1951, 146, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211542, 4518, 1888, 996, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211580, 4003, 2898, 826, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211618, 3420, 3312, 1755, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211656, 3332, 3245, 1949, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211695, 3357, 4264, 2107, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211737, 3208, 4121, 2451, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211779, 2672, 3833, 2380, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211822, 1195, 2432, 1463, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211864, -496, 592, 436, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211906, -1171, -166, -6, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211949, -1412, -536, 49, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
211991, -1673, -591, 108, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212033, -1777, -569, 416, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212076, -1264, -571, 596, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212118, -667, -599, 608, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212161, 634, -875, 466, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212195, 2953, 1317, 547, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212229, 4562, 1834, 115, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212263, 6380, 1046, -312, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212297, 9638, 1005, 753, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212332, 10708, 1739, -197, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212366, 9662, 2906, -741, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212400, 7194, 3896, -1154, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212434, 5410, 2279, -776, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212468, 5333, 2123, -1185, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212503, 4794, 2061, -840, 80, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212546, 3899, 2685, -484, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212590, 3450, 2600, -220, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212633, 3775, 2317, 278, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212677, 4625, 1727, 493, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212721, 5141, 698, 839, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212764, 4775, 7, 678, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212808, 3800, 945, 491, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212851, 3445, -2949, -567, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212895, 4457, -4024, -5978, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212939, 4078, -1745, -589, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
212972, 4054, 2596, -527, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213005, 4294, 1420, -705, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213039, 4082, 522, -567, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213072, 3726, 460, -266, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213106, 3788, 970, 383, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213139, 3753, 1063, 360, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213173, 4143, 830, 356, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213206, 4221, 664, -46, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213240, 4204, 345, -494, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
213273, 4106, 246, -560, 78, f41ae450-4b9a-41b7-a442-d83dc3fa13f3, , transisi, transisi_ruku_ke_iktidal, , 
