185667, 3463, -199, -2680, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187038, 525, 3035, 1536, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187080, -181, 3271, 1817, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187123, -577, 2690, 2041, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187165, -886, 3004, 2430, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187208, -1464, 2490, 1671, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187243, -1244, 1038, 2188, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187278, -2096, 1637, 2334, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187313, -2166, 936, 2349, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187348, -2347, 836, 2455, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187383, -2747, 518, 2501, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187418, -2858, 373, 2342, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187453, -2938, 335, 2299, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187488, -3308, 149, 2337, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187523, -3341, 245, 1891, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187558, -3328, -71, 1951, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187593, -3502, -325, 1642, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187632, -3255, -496, 1510, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187671, -3310, -677, 1628, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187710, -3207, -822, 1351, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187749, -3479, -614, 1256, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187788, -3056, -726, 984, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187827, -2540, -1144, 917, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187866, -2129, -594, 1752, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187905, -1637, -564, 886, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187944, -274, -573, 1503, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
187984, 556, 1621, 2316, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188026, -15, 1633, 969, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188069, 2451, 1979, 1348, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188111, 2745, 3635, 295, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188154, 4675, 3501, -208, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188196, 5442, 5952, -818, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188239, 5973, 5194, -1067, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188281, 5552, 5766, -1105, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188324, 5008, 4243, -987, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188366, 5672, 4943, -345, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188409, 1974, 6916, -1452, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188444, 2928, 2220, -1025, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188479, 2667, 3019, -1162, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188514, 3132, 2764, -1400, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188549, 3310, 1759, -1464, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188584, 3491, 1810, -1443, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188620, 3481, 1666, -1519, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
188655, 3469, 1516, -1541, 101, cafbb797-cba0-4f2c-8202-fb44f1854d72, , transisi, transisi_ruku_ke_iktidal, , 
