153442, 3342, -461, -2367, 110, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154180, 5729, -1117, -1112, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154212, 4882, -840, -873, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154244, 4769, 373, -2405, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154277, 4175, -30, -2182, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154309, 3796, 26, -1633, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154342, 3704, 5, -990, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154379, 3629, 278, -656, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154417, 3561, 503, -629, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154455, 3580, 592, -453, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154493, 3596, 427, -314, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154531, 3372, 1011, -88, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154568, 3405, 1734, 62, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154606, 3514, 2724, 30, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154644, 3648, 3442, 440, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154682, 3643, 3802, 626, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154720, 3611, 3845, 941, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154756, 3210, 3501, 919, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154793, 2581, 3040, 1030, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154830, 2899, 4672, 751, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154866, 3530, 5634, 526, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154903, 3482, 5270, 545, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154940, 1858, 3861, 339, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
154977, 342, 2060, 127, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155013, -437, 523, 1062, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155050, -717, 278, 1296, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155087, -1258, -60, 932, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155124, -867, 3, 455, 109, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155166, -615, 30, 37, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155208, 246, 246, -431, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155250, 957, 490, -899, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155292, 2311, 1036, -1410, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155335, 4150, 2518, -1174, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155377, 6602, 259, -84, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155419, 10089, 123, -397, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155461, 11556, 917, -498, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155503, 7697, 1939, -1226, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155546, 5892, 905, -961, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155581, 5902, 647, -1668, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155617, 5501, 1725, -1789, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155653, 4846, 2610, -1425, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155689, 3390, 2192, -1283, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
155725, 3139, 2171, -1212, 107, ac37f454-9a37-48fe-9710-2eb3c39ec6d8, , transisi, transisi_ruku_ke_iktidal, , 
