101375, 3171, -1368, -2217, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102016, 4087, 510, -984, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102058, 3905, 330, -282, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102101, 3815, 685, -30, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102143, 4183, 274, 315, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102186, 4392, 1071, 44, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102228, 4798, 1953, -32, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102271, 5382, 1762, 458, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102309, 5565, 1749, 833, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102347, 5454, 2941, 893, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102386, 5192, 2711, 1404, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102424, 4384, 4191, 1441, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102463, 3936, 3855, 2019, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102501, 3132, 4048, 2090, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102539, 1433, 3430, 2212, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102578, 576, 2755, 2379, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102616, -470, 2646, 1920, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102655, -552, 2071, 1874, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102695, -890, 967, 1216, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102736, -621, -207, 462, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102777, -539, -2142, -458, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102818, -564, -1628, -719, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102859, -61, -4443, -569, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102900, -343, -5548, -1806, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102941, -117, -4187, -800, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
102982, -60, -2924, -623, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103023, 292, -2152, -596, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103064, 797, -979, 11, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103105, 1388, -220, -109, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103140, 2305, 2848, 843, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103175, 2020, 3848, 1288, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103210, 4428, 5574, 1480, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103246, 4817, 6674, 3502, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103281, 5886, 4313, 513, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103316, 8286, 2782, 390, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103352, 10491, 1963, 219, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103387, 9662, 4696, -1257, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103422, 5587, 3299, -1749, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103458, 3982, 2715, -1183, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103495, 4429, 2232, -520, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103532, 4335, 1801, -323, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103570, 3641, 1947, 31, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103607, 3323, 1700, -83, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103645, 3219, 1856, -776, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103682, 3721, 2384, -1099, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103720, 4345, 1056, -595, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103757, 4612, 1156, -117, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103795, 5030, 277, 458, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103832, 5490, 1949, 3751, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103870, 3983, -2527, 798, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103909, 4510, -512, 146, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103948, 4052, -489, -389, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
103987, 4262, -508, -546, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104026, 4520, -137, -374, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104065, 4286, 315, -402, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104104, 3998, 488, -338, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104143, 3849, 985, -302, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104182, 3978, 988, 31, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104221, 4044, 994, 375, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104261, 4051, 1152, 544, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104300, 4023, 1178, 520, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104339, 4027, 1089, 370, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104378, 4069, 1029, 8, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
104417, 4048, 1075, -52, 97, 9448fd70-ea26-491f-a9a4-0d157903166b, , transisi, transisi_ruku_ke_iktidal, , 
