128233, 3050, -794, -2646, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129117, 3417, 777, -152, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129157, 3522, 861, -68, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129197, 3658, 1092, 163, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129237, 3546, 1229, 257, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129278, 3688, 1262, 125, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129318, 3986, 1716, 563, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129358, 4139, 1286, 210, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129399, 4146, 3134, -24, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129439, 4201, 3641, 865, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129479, 3712, 4018, 1926, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129520, 3388, 4390, 1883, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129561, 3164, 4499, 2063, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129602, 2686, 4733, 2066, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129644, 2069, 4509, 2045, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129685, 1382, 3967, 2066, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129727, 621, 3130, 1821, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129768, -312, 2554, 1891, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129809, -804, 2185, 2019, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129851, -1561, 771, 1558, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129892, -2146, 569, 1608, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129934, -2387, -552, 1115, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
129974, -2460, -806, 1134, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130015, -2785, -1380, 952, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130055, -2465, -1838, 695, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130096, -2170, -2280, 353, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130137, -1887, -2545, 147, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130177, -1536, -3259, -265, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130218, -1166, -3741, -935, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130259, -636, -3647, -744, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130299, -360, -3068, -595, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130340, -168, -2315, -477, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130381, 42, -1481, -176, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130416, 583, -792, 66, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130452, 1535, 219, 85, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130488, 2175, 3331, 1415, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130524, 2465, 5292, 3923, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130560, 2919, 4532, 1771, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130596, 5847, 3106, 217, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130632, 10575, 2539, 520, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130668, 15280, 7355, -118, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130704, 8279, 6367, -1560, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130740, 4221, 3357, -755, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130774, 3340, 1601, -221, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130808, 3712, 2657, -1345, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130843, 4800, 3209, -988, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130877, 3276, 2510, 177, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130911, 2187, 1910, -122, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130946, 2409, 2184, -1034, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
130980, 3338, 2220, -997, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131014, 4024, 2460, -706, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131049, 4349, 2245, -506, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131083, 4694, 1374, -687, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131118, 5333, 3412, 250, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131157, 4341, -3126, 2992, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131197, 3665, -224, 150, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131237, 4140, 127, -413, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131277, 4278, 408, -615, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131317, 4283, 388, -578, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131357, 4177, 474, -577, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131397, 3828, 813, -700, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131437, 3721, 1330, -550, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131477, 3772, 1151, -312, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131517, 3979, 1352, -193, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131557, 4072, 1495, -221, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131597, 3977, 1602, -56, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131638, 3960, 1262, -53, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131678, 3954, 1132, -225, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
131719, 3989, 1075, -318, 104, 3730a39a-51fe-49a8-9f76-43fb5dfcf869, , transisi, transisi_ruku_ke_iktidal, , 
