57655, 3116, -527, -2580, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58464, 3072, -839, -2152, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58494, 3120, -866, -2398, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58524, 3242, -925, -2830, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58554, 3230, -1128, -2512, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58585, 3182, -875, -2276, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58615, 3275, -907, -2315, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58645, 3263, -725, -2430, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58675, 3362, -654, -2442, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58706, 3560, -579, -2327, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58736, 3648, -558, -2187, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58766, 3788, -774, -1989, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58797, 4053, -729, -2124, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58836, 3937, -430, -1928, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58876, 3938, 75, -1801, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58915, 4184, -40, -1799, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58955, 4146, -27, -1750, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
58994, 3596, -359, -1848, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59034, 4008, -596, -2406, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59073, 4143, -618, -1690, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59113, 3934, -926, -2120, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59152, 4209, -683, -2299, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59192, 5198, 447, -1655, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59228, 4861, 517, -1524, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59265, 4528, 366, -1055, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59302, 3804, 620, -976, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59338, 3667, 82, -645, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59375, 3458, 235, -419, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59412, 3462, 619, -93, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59449, 3594, 882, 170, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59485, 3975, 862, 63, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59522, 4113, 1219, -61, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59559, 4084, 1775, 217, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59596, 3996, 1854, 96, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59638, 4138, 2412, 112, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59680, 4189, 2565, 184, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59722, 4051, 2803, 193, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59764, 3857, 3208, 447, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59806, 3420, 3543, 653, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59848, 3017, 3646, 1000, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59890, 2447, 3512, 1517, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59932, 1607, 3780, 1525, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
59974, 857, 3131, 1784, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60016, -77, 3652, 2184, 59, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60056, -686, 2954, 2065, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60096, -1252, 2831, 2247, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60136, -1627, 2660, 2146, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60176, -1954, 1925, 2106, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60217, -2511, 1942, 2012, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60257, -2813, 1255, 2109, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60297, -2903, 566, 1635, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60337, -3134, 65, 1521, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60377, -3209, -413, 1345, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60418, -3303, -1013, 1026, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60454, -2997, -1247, 824, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60490, -2732, -1624, 645, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60526, -2258, -1969, 262, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60563, -1596, -2682, -257, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60599, -1170, -3247, -1175, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60635, -732, -3697, -1327, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60671, -613, -3178, -1069, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60708, -526, -2642, -909, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60744, -266, -1895, -622, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60780, 179, -1119, -237, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60817, 678, -555, 45, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60856, 2032, 1615, 583, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60896, 1525, 4211, 1846, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60936, 5685, 5039, 4060, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
60976, 5110, 2939, 2582, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61016, 5876, 2405, 1047, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61056, 9297, 2074, 711, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61096, 15063, 4319, -3449, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61136, 8243, 8267, -2677, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61176, 4259, 2999, -534, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61216, 3415, 1932, -764, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61251, 3877, 2252, -1190, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61287, 4537, 2309, -721, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61322, 3540, 1913, 172, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61358, 2634, 1783, -59, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61393, 2825, 2112, -734, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61429, 4182, 2205, -1210, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61464, 4024, 2159, -703, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61500, 4142, 2014, -137, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61535, 4460, 2043, -526, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61571, 5457, -194, -48, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61607, 4405, -3645, 219, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61647, 4702, -800, 512, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61688, 4236, 497, -81, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61728, 4360, 458, -502, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61769, 4279, 468, -452, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61810, 3897, 646, -643, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61850, 3743, 750, -727, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61891, 3651, 1237, -501, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61931, 3692, 1054, -362, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
61972, 3700, 1154, -180, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
62013, 3874, 1425, 193, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
62053, 4036, 1478, 434, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
62093, 4026, 1555, 579, 61, e12eb3a0-0fc9-451d-8bd2-24e58712121b, , transisi, transisi_ruku_ke_iktidal, , 
