77170, 3087, -597, -2628, 99, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79858, -3396, 506, 2112, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79901, -3326, 225, 1898, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79944, -3117, -2, 1538, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
79986, -2752, -88, 1345, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80029, -2516, 219, 1692, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80071, -2162, 206, 1614, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80114, -1464, 387, 2265, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80157, -919, 842, 3155, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80199, -939, 500, 2812, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80242, 83, 2834, 1864, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80284, 2084, 1327, 1275, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80327, 2500, 3748, 1760, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80369, 3611, 1953, 1365, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80412, 3991, 3922, 1083, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80454, 5061, 1318, 1432, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80497, 6808, 2099, 576, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80539, 7331, 1971, -321, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80582, 6717, 3190, -950, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80625, 4654, 1858, -1053, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80658, 3685, 2831, -1121, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80691, 4138, 1761, -651, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80724, 3805, 1743, -381, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80758, 3564, 1392, -354, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80791, 3464, 1491, -464, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80824, 3755, 1412, -844, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80858, 3724, 1841, -908, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80891, 4177, 1999, -832, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80924, 4577, 511, 174, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80958, 4430, -666, 368, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
80998, 4050, -254, -223, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81038, 3989, 80, -655, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81078, 4266, -156, -501, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81118, 4234, -582, -280, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81158, 4071, -94, -366, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81198, 4118, 569, -419, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81238, 4055, 796, -334, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81278, 4028, 933, -407, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81318, 4027, 888, -365, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
81359, 4056, 651, -364, 100, 27d81e0a-b39c-462a-823d-7cb13e908a60, , transisi, transisi_ruku_ke_iktidal, , 
