19129, 2775, 160, -3010, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19654, 3700, -232, -2995, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19693, 3687, 1321, -2664, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19732, 4835, 757, -2340, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19771, 5334, 602, -2783, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19810, 4033, 41, -2537, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19849, 3815, -625, -2622, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19888, 3299, 144, -2102, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19928, 3869, -703, -697, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
19967, 4000, -406, -820, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20006, 3635, 103, -554, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20045, 3665, -227, -574, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20084, 3721, 168, -160, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20124, 3881, -42, -148, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20162, 3778, 198, -66, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20201, 3859, 225, -461, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20239, 3706, 70, -70, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20278, 4078, 510, -286, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20316, 4121, 859, -294, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20355, 4168, 1105, -21, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20393, 3475, 1108, 115, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20432, 3058, 1058, 100, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20470, 3690, 1471, 28, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20509, 3391, 2072, 68, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20548, 2890, 2675, 385, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20586, 2882, 3170, 699, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20624, 2667, 2857, 1110, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20662, 2608, 3071, 1409, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20701, 2578, 2881, 2102, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20739, 2496, 4431, 2958, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20777, 2288, 4402, 3729, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20816, 2587, 4975, 3896, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20854, 2568, 5581, 3724, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20892, 2492, 5072, 3696, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20931, 2169, 5567, 3522, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
20972, 1943, 4978, 2827, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21014, 1527, 4827, 2648, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21056, 728, 3741, 1493, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21098, 1137, 1913, 1198, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21140, 1548, -493, 97, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21182, 1324, -2010, -1314, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21224, 13, -6505, -5067, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21266, -744, -4290, -2000, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21308, 441, -4636, -1395, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21350, 1128, -2197, -1976, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21392, 2443, -1103, -312, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21425, 2987, 236, 93, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21458, 4357, 2788, 2125, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21492, 7060, 1384, 1307, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21525, 7765, 5818, 3530, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21559, 9349, 1886, 1859, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21592, 11291, 1568, 636, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21625, 10506, 1952, 972, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21659, 7524, 1499, -341, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21692, 5168, 1792, -1162, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21726, 5002, 2170, -1737, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21767, 4391, 1784, -1355, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21809, 3865, 1196, -1234, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21850, 3341, 1424, -1454, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21892, 3370, 1535, -1808, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21933, 3624, 1171, -1520, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
21975, 4285, 566, -1239, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22016, 4751, 1802, -272, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22058, 5557, -5631, 4561, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22099, 3436, -745, -72, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22141, 3430, -66, -468, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22177, 4190, -2345, 588, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22214, 3987, -1970, 172, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22250, 3980, -728, -405, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22287, 4141, 189, -678, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22324, 4145, 154, -281, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22360, 4120, 178, -84, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22397, 4246, -16, -91, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22434, 4213, -431, -135, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22470, 4123, -589, -164, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22507, 4107, -557, -283, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22544, 4090, -560, -314, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
22588, 4112, -482, -245, , 05c3b889-ea8b-459a-bf9d-6ffa1d53a8db, , transisi, transisi_ruku_ke_iktidal, , 
