288014, 3478, -719, -2024, 86, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290486, 4622, 3607, 775, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290528, 5222, 7037, 553, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290570, 5287, 4327, 1328, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290612, 6238, 2112, 2685, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290654, 5608, 5275, -917, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290696, 5280, 2198, -1045, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290739, 3739, 2874, -956, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290781, 3743, 1937, -606, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290823, 3768, 1849, -607, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290865, 3866, 1536, -469, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290907, 3735, 1243, -374, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290949, 3896, 1609, -340, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
290992, 3903, 988, -66, 87, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291027, 4273, -105, 512, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291062, 4122, 352, 725, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291097, 4356, 193, 1103, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291132, 4325, 484, 470, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291167, 4381, 207, 339, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291202, 4140, 452, 111, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291237, 4046, 385, 88, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291272, 3945, 815, 56, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
291307, 3960, 1058, 46, 88, 39cd1848-51d5-4a04-aefc-ab39ee2b5ab5, , transisi, transisi_ruku_ke_iktidal, , 
