108798, 2909, -1344, -2621, 95, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110548, 3585, 2373, 1782, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110581, 2660, 2693, 2134, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110614, 1985, 2418, 2541, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110650, 1121, 2113, 2207, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110687, 83, 1680, 2150, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110724, -573, 1361, 1905, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110760, -784, 1574, 2573, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110797, -1542, 1188, 2328, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110834, -1893, 1234, 2471, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110871, -2296, 1324, 2534, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110907, -2889, 1043, 2401, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110944, -2943, 1267, 2456, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
110981, -2825, 726, 2251, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111018, -3015, 627, 1943, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111057, -2894, 969, 2057, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111097, -2824, 1249, 2068, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111136, -2887, 1453, 2215, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111176, -2926, 1241, 2081, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111216, -2867, 942, 1900, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111255, -2681, 692, 1684, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111295, -2366, 440, 1306, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111334, -1867, 264, 1109, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111374, -1071, 433, 1148, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111414, -158, 803, 2154, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111454, 552, 1257, 2398, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111494, 1510, 1048, 2511, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111534, 3553, 2285, 3708, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111574, 3346, 388, 786, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111614, 5358, -701, -407, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111654, 7973, -1002, -53, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111694, 11035, -171, 85, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111734, 9682, 1495, -690, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111774, 5450, 2758, -1941, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111814, 3470, 649, -801, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111852, 4805, 1264, -752, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111890, 4740, 1255, -533, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111928, 3946, 1007, 801, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
111966, 3379, 753, -255, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112004, 3402, 1363, -1138, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112042, 4105, 1435, -1471, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112080, 4142, 699, -1010, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112118, 4379, -725, 313, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112156, 4835, -3005, 1377, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112194, 4411, -472, -670, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112233, 3786, -537, -1003, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112271, 3914, -964, -707, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112309, 4149, -1702, -393, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112347, 4070, -1256, -482, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112385, 4015, -468, -672, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112423, 4114, -19, -571, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112461, 4041, 99, -512, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112499, 4132, 103, -295, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112537, 4241, 122, -174, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112575, 4234, -74, -170, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112614, 4143, -235, -313, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
112650, 4060, -396, -421, 93, 0329be2d-4210-4577-96bf-af0834f1cef0, , transisi, transisi_ruku_ke_iktidal, , 
