101022, 3631, 257, -2178, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101601, 4294, 342, -2173, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101640, 4282, -63, -1373, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101678, 4764, -90, -404, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101717, 4550, 513, -1072, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101755, 4517, 694, -611, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101794, 4175, 694, -242, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101833, 4012, 432, 155, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101871, 4090, 852, 136, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101910, 4304, 847, 37, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101949, 4289, 1224, -209, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
101987, 4359, 1554, -137, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102025, 4237, 1644, -143, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102063, 4327, 2095, 24, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102101, 4021, 2493, 57, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102139, 3877, 2792, 239, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102177, 3617, 3038, 280, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102215, 3273, 3616, 323, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102253, 2863, 3640, 103, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102291, 2136, 3821, 160, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102329, 1246, 3832, 536, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102367, 532, 3712, 480, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102405, -170, 3866, 884, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102444, -543, 3519, 1212, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102482, -1218, 2829, 1124, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102520, -1697, 3302, 1315, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102558, -2205, 1726, 1234, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102597, -2643, 2026, 1266, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102635, -2915, 997, 1254, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102673, -3224, 600, 1309, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102712, -3219, 214, 1151, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102750, -3265, -118, 1190, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102788, -3218, -700, 1098, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102827, -3307, -924, 1045, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102865, -3201, -1350, 1002, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102903, -3298, -1574, 923, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102942, -3272, -1820, 920, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
102979, -3147, -1659, 886, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103017, -2958, -2162, 708, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103055, -2929, -2247, 495, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103092, -2770, -2469, 508, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103130, -2492, -2718, 419, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103168, -2193, -2759, 182, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103205, -1835, -2705, 147, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103243, -1401, -2452, 24, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103281, -1020, -2043, 37, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103318, -835, -1446, -37, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103356, -535, -847, 5, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103394, 171, 122, 363, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103432, 1079, 1449, 980, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103471, 1503, 4443, 1512, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103511, 2770, 5137, 2667, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103550, 2142, 6684, 1871, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103590, 4331, 2859, 1760, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103629, 7046, 4823, 1053, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103669, 8532, 3819, -31, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103708, 10051, 2413, 3118, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103748, 5728, 6313, -1500, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103787, 3510, 1129, -447, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103827, 3591, 2519, -891, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103866, 4028, 2352, -953, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103906, 3957, 1663, 145, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103946, 3014, 1898, -219, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
103987, 3293, 1692, -304, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104028, 3724, 630, -745, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104069, 3995, 2318, -951, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104111, 4774, 359, -100, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104152, 4510, 3902, -1097, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104193, 4904, -893, 434, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104235, 3996, -1181, 1154, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104276, 4123, -682, 1399, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104317, 4382, -279, 1234, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104359, 4410, 452, 377, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104400, 4183, 673, 90, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
104441, 3969, 766, 80, 100, f1cee044-b20a-4075-aff5-762735829bde, , transisi, transisi_ruku_ke_iktidal, , 
