339816, 3385, 136, -2363, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341350, 12881, 912, -1290, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341380, 9654, 429, -560, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341410, 6088, 924, 299, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341440, 4776, 466, 269, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341470, 2768, 127, 58, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341500, 1058, -130, 331, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341530, -120, -573, 214, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341560, -1368, -871, 157, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341590, -2260, -1290, 555, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341620, -2962, -1568, 505, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341660, -3254, -1954, 322, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341701, -3352, -2028, 320, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341741, -3278, -1979, 66, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341782, -3249, -2022, 43, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341822, -3193, -2203, 93, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341863, -3104, -2334, 87, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341903, -2986, -2426, -44, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341944, -2888, -2393, 174, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
341984, -2564, -2414, -42, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342025, -2230, -2304, -225, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342061, -1945, -2105, -219, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342097, -1683, -1735, -703, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342133, -1549, -1754, -1246, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342169, -1324, -1335, -1545, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342205, -802, -990, -1364, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342242, 147, -1108, -1218, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342278, 2325, -556, -585, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342314, 5209, -621, 215, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342350, 8347, 1822, 2129, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342386, 10813, 1033, 1735, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342423, 13534, 829, 2003, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342464, 14701, -347, 1400, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342505, 12090, 941, 1566, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342546, 8630, 733, 628, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342588, 6489, -5, 734, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342629, 5398, 13, 981, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342670, 4777, -375, 1396, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342712, 4057, -917, 1656, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342753, 3647, -634, 1348, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342794, 3908, -134, 1051, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342836, 4192, -241, 741, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342881, 4453, -16, 532, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342926, 4972, 264, -101, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
342971, 5185, 223, -428, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343016, 4611, -3334, -17433, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343061, 4284, 266, -3550, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343106, 5642, 406, -913, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343151, 4032, 499, -396, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343196, 3403, 943, 878, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343241, 3290, 2517, -159, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
343287, 3574, 1553, -1384, 95, 376a0cf9-fdb0-45bb-bac7-ce129b0ea32a, , transisi, transisi_ruku_ke_iktidal, , 
