267855, 3820, -627, -1628, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268482, 3673, 117, -384, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268519, 3308, 375, -427, 74, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268555, 3644, 600, 994, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268591, 3485, -154, 676, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268628, 3505, 896, 715, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268664, 3509, 406, 670, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268701, 3415, 1311, 442, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268737, 4042, 1770, 720, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268773, 4259, 2528, 690, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268810, 4276, 2762, 1042, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268846, 3954, 4197, 835, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268883, 3326, 4713, 1060, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268920, 2615, 5178, 579, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268957, 1988, 4854, 420, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
268994, 1189, 3536, 660, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269032, -410, 1473, 821, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269069, -1013, 444, 641, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269106, -1152, 443, 233, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269143, -1114, 5, -13, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269181, -870, -58, -69, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269218, 30, 198, -255, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269255, 865, 3, -108, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269293, 2810, 453, -89, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269333, 4595, 995, 103, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269373, 6255, -388, 90, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269413, 11140, -468, 510, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269453, 10650, 510, 562, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269493, 6830, 1696, 653, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269533, 5230, -89, 832, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269573, 5924, 60, -634, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269613, 6221, 1855, -1537, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269653, 5267, 3170, -1089, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269693, 3384, 2086, -155, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269728, 3478, 1293, 158, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269764, 3883, 1799, 199, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269800, 4744, 2013, -232, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269835, 4039, 2296, -642, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269871, 4292, 1355, -437, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269907, 4452, 1122, -650, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269943, 4011, 612, -1062, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
269978, 6097, 7732, 941, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270014, 2655, -6026, 3874, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270050, 4243, 1220, -1339, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270086, 3830, -104, -839, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270129, 4542, -1733, 88, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270173, 4272, -975, -340, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270217, 4048, -163, -816, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270260, 3996, 632, -1025, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270304, 3932, 563, -661, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270348, 4008, 581, -629, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270391, 4053, 338, -605, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270435, 4171, -123, -340, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
270479, 4191, -286, -195, 80, 326830f3-309e-4ff3-bea4-fdb3bab6bfa5, , transisi, transisi_ruku_ke_iktidal, , 
