88906, 2922, -1369, -2575, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89552, 3984, -1142, -2146, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89592, 4419, -983, -1603, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89628, 5158, -1803, -1239, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89665, 4353, -542, -966, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89701, 4072, 214, -547, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89738, 4038, 163, -384, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89775, 4157, 133, -455, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89811, 4293, 95, -646, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89848, 4324, 413, -1011, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89885, 4418, 557, -1105, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89921, 4447, 557, -982, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89958, 4365, 341, -550, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
89995, 4316, 426, -288, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90034, 4623, 875, -318, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90073, 4696, 1641, -251, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90112, 5047, 1458, -504, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90151, 4769, 2201, -475, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90190, 4607, 2230, 97, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90229, 4108, 2539, 461, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90268, 3604, 2612, 733, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90307, 2990, 2793, 1053, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90346, 2139, 2766, 1264, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90386, 1165, 2485, 1244, 108, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90423, 28, 2277, 1795, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90460, -645, 2576, 1916, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90497, -1253, 2402, 2086, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90534, -1799, 2838, 2546, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90571, -1986, 2648, 2503, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90609, -2034, 2758, 2693, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90646, -2291, 2795, 2664, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90683, -2506, 2150, 2452, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90720, -2563, 1958, 2454, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90757, -2850, 1487, 1864, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90795, -3004, 823, 1951, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90835, -3199, 480, 1857, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90875, -3197, -127, 1380, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90915, -3166, -612, 880, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90955, -2594, -1182, 633, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
90995, -2299, -1710, 397, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91035, -2045, -2741, -258, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91075, -1964, -3039, -760, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91115, -1600, -3213, -790, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91155, -1185, -2862, -682, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91195, -897, -2243, -482, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91234, -400, -1451, -217, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91273, 126, -834, 23, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91312, 1126, -172, 363, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91351, 2545, 2966, 1113, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91390, 4249, 5240, 3717, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91429, 4232, 3865, 1149, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91468, 5981, 4256, 1520, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91507, 6485, 3575, 494, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91546, 8273, 1481, 279, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91585, 11514, 2926, -1874, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91625, 9123, 4520, -2985, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91666, 3925, 3411, -1967, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91707, 3474, 1374, -987, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91748, 3960, 1496, -1382, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91789, 4358, 1475, -1187, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91830, 3799, 1526, -230, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91871, 3180, 1200, -424, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91912, 3312, 1459, -861, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91953, 3831, 1474, -1238, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
91994, 4469, 862, -1089, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92035, 4691, 61, -611, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92069, 4458, -2280, 318, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92103, 4123, -2219, 155, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92138, 3910, -1116, -228, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92172, 4017, -602, -426, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92207, 4248, -24, -692, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92241, 4287, 204, -737, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
92275, 3992, 656, -585, 111, 93f403b8-12b3-4199-9111-7aadb3dd5965, , transisi, transisi_ruku_ke_iktidal, , 
