59397, 3518, -1105, -1939, 51, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60633, 4071, 2791, 939, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60675, 3596, 3278, 1150, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60717, 3121, 3480, 1421, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60759, 2675, 4143, 1422, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60801, 2314, 4377, 1431, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60843, 1622, 4364, 1637, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60881, 1177, 4421, 1592, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60920, 536, 4098, 1605, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60959, -46, 4212, 1696, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
60998, -632, 3540, 1616, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61037, -1563, 3411, 1526, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61075, -1882, 2699, 1587, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61114, -2650, 2208, 1162, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61153, -2783, 1148, 1341, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61192, -2948, 375, 883, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61231, -2455, -753, 639, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61270, -1884, -2171, 399, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61310, -1251, -2492, -90, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61350, -1059, -3711, -454, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61389, -941, -3332, -176, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61429, -1136, -3170, 164, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61469, -1227, -2858, 115, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61509, -1319, -2449, 9, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61548, -1022, -1885, -20, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61588, -999, -1381, -255, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61628, -864, -446, -108, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61668, -1163, 1289, 247, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61705, -1660, 2659, 87, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61743, -2443, 4524, 597, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61781, -863, 4520, 1799, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61819, -313, 4918, 1540, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61857, 722, 3892, 1142, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61894, 1839, 4698, 2215, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61932, 3482, 4965, 357, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
61970, 5341, 3406, 1258, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62008, 7172, 5251, 1307, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62046, 5995, 3604, 1601, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62083, 3378, 6003, -500, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62120, 3257, 2851, -254, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62157, 3277, 1471, -4, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62194, 2763, 1432, 210, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62231, 2925, 2095, 920, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62268, 3304, 2422, 922, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62305, 3708, 2448, 435, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
62342, 3910, 2207, 345, 50, 4907b122-d2c9-4d33-b1c6-022ec246a66b, , transisi, transisi_ruku_ke_iktidal, , 
