208225, 3165, -1379, -2474, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208767, 4736, 959, -940, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208808, 3898, 1204, -77, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208848, 3763, 404, 264, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208889, 4026, 428, 180, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208929, 3810, 678, 210, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
208970, 4137, 947, 170, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209010, 4353, 651, 396, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209051, 4474, 1286, 538, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209089, 5030, 1763, 871, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209128, 5401, 1932, 469, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209167, 5212, 2696, 417, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209206, 4946, 3072, 505, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209245, 4292, 3110, 960, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209284, 3589, 3391, 1082, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209323, 2755, 3162, 1380, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209362, 1713, 2924, 1540, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209401, 575, 2657, 1597, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209440, -185, 2273, 1702, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209476, -916, 1991, 1746, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209513, -1602, 1573, 1807, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209550, -2283, 1054, 1799, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209587, -2959, 683, 1756, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209624, -3330, 183, 1559, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209660, -3478, -80, 1541, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209697, -3196, -113, 1279, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209734, -2630, -763, 853, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209771, -2479, -1287, 349, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209808, -1850, -2516, -165, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209845, -1407, -3234, -898, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209890, -1202, -3848, -539, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209935, -840, -3765, -126, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
209980, -543, -2920, -35, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210025, -240, -2007, 192, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210070, 62, -1058, 277, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210115, 612, -372, 468, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210160, 1645, 1016, 379, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210205, 3202, 4236, 2124, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210250, 2812, 2941, 2286, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210295, 6785, 3291, 1193, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210326, 8648, 3134, 1162, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210357, 11510, 1662, 1231, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210389, 12899, 4206, -562, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210420, 7608, 3874, -1713, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210451, 4534, 2128, -917, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210483, 4213, 2069, -663, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210514, 4776, 2354, -388, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210545, 3947, 2427, -67, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210577, 2863, 2133, 59, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210608, 2986, 2159, -268, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210640, 3616, 2411, -800, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210680, 4471, 2078, -628, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210721, 4682, 1457, -452, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210761, 4967, 864, -147, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210802, 5729, 541, 1440, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210842, 6378, -6593, 1663, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210883, 4027, -902, 55, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210923, 3734, -468, -304, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
210964, 4176, -395, -399, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
211004, 4216, -114, -584, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
211045, 4553, -207, -300, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
211085, 3918, 498, -309, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
211126, 3597, 769, -312, 104, b00adef8-9181-4e04-a50a-0531bd557d53, , transisi, transisi_ruku_ke_iktidal, , 
