233917, 3419, -1522, -2023, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236918, -1570, -2224, -139, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
236960, -1284, -1697, -19, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237002, -742, -1127, 89, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237044, -174, -295, 186, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237086, 770, 1193, 1304, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237128, 840, 2986, 1011, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237170, 2665, 4710, 2056, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237212, 2697, 5006, 405, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237254, 5107, 4164, 1162, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237293, 6066, 3528, 911, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237333, 8230, 2765, 664, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237373, 9607, 2948, 1635, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237413, 7303, 577, -2542, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237453, 3942, 2630, -660, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237492, 3811, 746, -999, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237532, 4198, 2285, -1646, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237572, 4509, 1558, -1186, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237612, 4001, 1251, -269, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237652, 2875, 1704, -458, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237686, 3191, 1349, -774, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237721, 3861, 1153, -941, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237756, 4453, 1109, -932, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237790, 4531, 970, -869, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237825, 4026, 828, -139, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237860, 4394, -640, -122, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237895, 4217, -669, -353, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237929, 4337, -208, -627, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237964, 4168, 308, -653, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
237999, 4143, 136, -680, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238034, 3920, 140, -644, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238074, 3822, 193, -453, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238115, 3850, 677, -519, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238155, 3884, 407, -530, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238196, 3949, 696, -473, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238237, 4050, 665, -300, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238277, 4183, 624, -183, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238318, 4223, 698, -28, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238358, 4088, 756, 118, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238399, 4176, 880, 71, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
238440, 4093, 779, -128, 68, 5df3ff21-175e-4e36-8475-82366702967e, , transisi, transisi_ruku_ke_iktidal, , 
