127215, 4068, 381, -1807, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129040, -1370, -2129, -968, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129077, -748, -1658, -1004, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129114, -71, -1302, -1014, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129151, 1293, -970, -866, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129187, 3014, -487, -593, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129224, 5771, 2427, 16, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129261, 8355, 3189, -369, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129298, 11984, 5688, 881, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129335, 12317, 3797, 934, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129372, 12385, 4508, 2115, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129412, 9380, 1249, 1766, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129453, 5925, 2792, -138, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129493, 6091, 1288, -364, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129534, 6174, 121, 917, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129574, 4485, 296, 2030, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129615, 3635, 1572, 1350, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129655, 3818, 469, 1125, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129696, 3667, -449, 2205, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129736, 3209, 229, 3105, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129777, 3683, 100, 2609, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129816, 4162, 511, 2316, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129856, 4707, 437, 2184, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129896, 8298, 19, -3560, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129936, 2760, 909, -7959, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
129976, 5373, 1607, -1843, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
130015, 4926, -388, 1341, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
130055, 3787, -900, 1491, 97, 89e6c8bd-79dd-4999-b41a-954197d5b280, , transisi, transisi_ruku_ke_iktidal, , 
