122926, 3762, -545, -1477, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124317, -3571, -2456, -2033, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124355, -3580, -2518, -2197, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124393, -3312, -2246, -1670, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124431, -2684, -1778, -1582, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124469, -1653, -1515, -1317, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124508, -684, -975, -1010, 88, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124545, -106, -987, -522, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124583, 1185, -638, 328, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124621, 2273, -295, 1547, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124659, 3591, 1274, 1323, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124697, 8504, 761, 493, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124734, 10319, 11, -1254, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124772, 16730, 2539, -577, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124810, 12349, 5830, 647, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124848, 6746, 6938, -1141, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124886, 5400, -1004, 1541, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124923, 5589, 3334, -2042, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124961, 4865, 2755, -967, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
124999, 4392, 2199, -393, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125037, 3157, 1697, -406, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125075, 3513, 1930, -281, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125112, 4609, 1541, 542, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125150, 4503, 1453, 621, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125188, 4584, 2173, -75, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125226, 4747, 1515, -457, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125264, 5177, 359, -70, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125302, 4843, -3670, -4438, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125341, 4176, -2928, -2984, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125380, 4362, -696, -188, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125419, 4358, 1324, -785, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125458, 4083, 1125, -940, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125497, 4119, 785, -772, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125536, 4063, 68, -410, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125575, 3928, 125, 45, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125614, 4011, 408, -45, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125653, 4041, 819, 21, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125692, 4176, 681, 58, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125733, 4219, 73, -35, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125774, 4236, -462, -99, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125816, 4201, -317, -64, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125857, 4126, -36, -73, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
125899, 4161, 347, -230, 87, cbc0e461-3693-4f21-821a-0cf4142643d0, , transisi, transisi_ruku_ke_iktidal, , 
