88820, 3675, -402, -2113, 94, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89863, 4321, -577, 162, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89903, 4080, -458, 314, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89943, 4115, -429, 520, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
89983, 4138, -780, 745, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90024, 4473, -1147, 846, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90060, 4816, -1168, 935, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90096, 5111, -1379, 1161, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90133, 6079, -978, 1684, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90169, 7434, -741, 1565, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90205, 8316, -825, 1160, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90242, 8813, 525, 1329, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90278, 9593, 748, 2025, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90314, 8173, 1090, 2110, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90351, 6196, 1065, 1811, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90387, 4133, 681, 1508, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90424, 2387, 322, 1220, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90463, 1066, -91, 1094, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90503, -89, -385, 663, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90542, -1075, -552, 370, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90582, -2196, -972, 586, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90621, -2770, -1351, 456, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90661, -3224, -1322, 363, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90700, -3359, -1761, 200, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90740, -3458, -1572, 347, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90779, -3320, -2148, -28, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90819, -3285, -1868, 92, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90855, -3313, -2023, 76, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90892, -3246, -2230, -211, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90928, -3273, -2125, 38, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
90965, -3269, -2267, 13, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91002, -3191, -2384, -204, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91038, -3133, -2255, -53, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91075, -3093, -2287, -147, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91112, -2987, -2181, -187, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91148, -3035, -2264, -102, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91185, -2886, -2225, -222, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91222, -2560, -2145, -451, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91260, -2395, -1622, -724, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91299, -2044, -1325, -1021, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91338, -1650, -1090, -1123, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91376, -1430, -549, -963, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91415, -1102, -636, -357, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91454, -153, -114, 266, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91492, 929, -188, 1439, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91531, 3482, 1177, 2397, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91570, 5318, 1728, 2343, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91609, 7501, 1519, 1799, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91654, 7967, 354, 1306, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91699, 9488, 1155, 452, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91744, 10293, 1101, 18, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91789, 8387, 2046, 92, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91835, 6620, 1383, 260, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91880, 5284, 954, 14, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91925, 4623, 622, -288, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
91970, 4404, 786, -82, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92015, 4409, 805, 188, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92061, 4529, 337, 170, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92094, 4398, 382, -216, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92128, 4375, 666, -94, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92162, 3752, -1167, -844, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92196, 3737, -1945, -1503, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92230, 3834, -297, -1096, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92263, 3908, -73, -421, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92297, 4336, 406, -893, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92331, 3986, 99, -1160, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
92365, 3966, -491, -948, 95, a62bd5e5-5e18-429d-bd51-42ac9f534a0a, , transisi, transisi_ruku_ke_iktidal, , 
