162325, 3344, -1050, -2231, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163280, 3923, 605, -46, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163318, 3964, 800, -91, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163355, 4083, 1645, -238, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163393, 4556, 1919, -164, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163431, 4421, 1406, 127, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163469, 4362, 2442, -3, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163507, 4440, 2415, 22, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163545, 4229, 2690, 176, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163583, 3966, 3312, 23, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163621, 3466, 3588, 131, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163659, 2798, 3593, 335, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163697, 1758, 3470, 401, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163735, 767, 3423, 535, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163773, -201, 3134, 667, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163811, -472, 3420, 951, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163849, -866, 2957, 1139, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163887, -1424, 2817, 990, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163926, -2016, 2507, 1280, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
163965, -2418, 1776, 1425, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164005, -3022, 1813, 1503, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164045, -3232, 1110, 1682, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164085, -3503, 867, 1474, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164125, -3625, 726, 1651, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164165, -3612, 340, 1597, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164205, -3613, 102, 1541, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164245, -3598, -338, 1282, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164285, -3629, -554, 1221, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164325, -3339, -974, 1236, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164365, -3365, -1289, 1070, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164405, -3007, -1439, 1160, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164445, -2927, -1939, 901, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164482, -2814, -2002, 632, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164519, -2621, -2325, 420, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164556, -2361, -2378, 411, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164594, -2161, -2492, 351, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164631, -1518, -2612, 204, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164668, -1069, -2494, 221, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164706, -872, -2080, 355, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164743, -738, -1302, 206, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164780, -193, -691, 370, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164818, 855, 326, 693, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164855, 1229, 2739, 822, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164892, 2270, 4290, 2157, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164930, 2339, 8449, 1237, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
164973, 3157, 3650, 1941, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165016, 5984, 4380, 765, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165059, 7035, 4663, 50, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165103, 9231, 4154, -27, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165146, 8932, 2964, 155, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165189, 4403, 4636, -1006, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165233, 4012, 1796, -742, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165276, 3651, 1853, -700, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165319, 3853, 1071, 258, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165363, 3664, 1565, 29, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165406, 3430, 1509, -398, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165449, 3707, 1210, -639, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165493, 4032, 1094, -718, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165527, 4430, 2346, -344, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165562, 4721, -1364, 1843, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165596, 4644, -1478, 1391, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165631, 4002, 250, 613, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165665, 3938, 252, 116, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165700, 4282, -352, 327, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165734, 4231, 25, 265, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165769, 4232, 357, 146, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165803, 4095, 620, 58, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165838, 3997, 728, -16, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165872, 4047, 751, -7, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165907, 4044, 999, -38, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165942, 4100, 829, 103, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
165981, 4077, 750, 210, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
166021, 4119, 465, 305, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
166061, 4066, 547, 215, 89, 057f1a76-621d-46f3-8d58-6327b2dedd21, , transisi, transisi_ruku_ke_iktidal, , 
