43304, 3275, 220, -2502, 66, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44891, -2906, 567, 1310, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44935, -2347, 198, 1059, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
44976, -1499, -499, 408, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45018, -638, -3250, -768, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45059, -539, -4701, -1029, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45101, -259, -3741, -301, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45143, 30, -3042, -409, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45184, 310, -2173, -88, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45226, 536, -1134, -112, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45267, 1015, -277, 140, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45309, 2207, 1558, 677, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45351, 1992, 4272, 1774, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45379, 3909, 3832, 2037, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45408, 6461, 6487, 649, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45437, 7341, 3638, 601, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45466, 10619, 3650, 864, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45495, 12390, 3715, 967, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45524, 9093, 2942, -733, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45553, 3581, 2198, -131, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45582, 4547, 1485, -774, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
45611, 4572, 2525, -1861, 67, c8a8039b-433f-47e9-a796-1fc699f3711b, , transisi, transisi_ruku_ke_iktidal, , 
