74356, 3455, -657, -2159, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75255, 4080, -185, -511, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75291, 3413, -180, -737, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75327, 3439, -51, -969, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75362, 3488, 295, -603, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75398, 3465, 774, -754, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75433, 3757, 582, -462, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75469, 3980, 612, 94, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75505, 3922, 1712, 347, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75545, 4011, 2725, 732, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75585, 3753, 2947, 691, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75626, 4053, 3607, 1059, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75666, 4165, 4249, 1384, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75706, 4353, 4182, 1773, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75747, 3848, 3927, 2228, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75787, 3366, 3937, 2133, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75827, 2796, 3832, 2168, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75868, 2263, 3018, 2509, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75908, 1297, 2488, 2418, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75949, 764, 2212, 2053, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
75986, -559, 1268, 1675, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76024, -518, 1579, 2128, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76061, -1315, -3, 1207, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76099, -1768, 131, 1346, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76136, -2307, -903, 587, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76174, -2688, -1022, 487, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76211, -3018, -1397, 557, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76249, -3144, -1852, 401, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76286, -3386, -2021, -230, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76324, -2732, -1887, -381, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76360, -1646, -1758, 27, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76396, -920, -1909, -118, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76432, 392, -1413, -87, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76468, 2054, -444, -440, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76504, 4506, 1390, -311, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76540, 6584, 1720, -724, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76576, 9733, -3, -1453, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76612, 14461, 62, -2020, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76648, 14703, 3113, -1299, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76684, 9148, 5379, -2904, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76721, 5522, 1473, -393, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76761, 5329, 1060, -2004, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76802, 5418, 2586, -2685, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76842, 4337, 3886, -1579, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
76883, 3285, 2732, -1007, 75, 3b59f56d-ee0c-4999-bb75-32d7c253e690, , transisi, transisi_ruku_ke_iktidal, , 
