264332, 3232, -1496, -2108, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265070, 4049, -199, -946, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265109, 4315, -53, -921, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265148, 4068, -343, -580, 82, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265186, 4501, 265, 21, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265224, 5006, 509, -121, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265262, 4972, 384, -705, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265301, 4716, 364, -438, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265339, 4613, 505, -487, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265377, 4680, 955, -209, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265415, 4537, 1154, -279, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265454, 4469, 1365, -427, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265492, 4285, 1667, -424, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265530, 4189, 1615, -228, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265569, 4152, 1523, -65, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265607, 4096, 1912, -20, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265646, 4186, 1781, -54, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265684, 4098, 2081, 100, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265723, 4090, 2598, 179, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265762, 3937, 2629, 245, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265800, 3457, 3188, 643, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265839, 2946, 3288, 548, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265877, 2397, 3486, 1005, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265916, 1372, 3312, 1122, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265955, 359, 3202, 1225, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
265991, -471, 3184, 1416, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266028, -1055, 2633, 1424, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266065, -1492, 2765, 1824, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266101, -2262, 2261, 1486, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266138, -2720, 2576, 1882, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266175, -2935, 2338, 1858, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266212, -3370, 2353, 1652, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266248, -3622, 2128, 1667, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266285, -3706, 1647, 1364, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266322, -3683, 1080, 1411, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266359, -3515, 409, 1313, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266399, -3674, -108, 1026, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266440, -3531, -488, 796, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266480, -3496, -521, 452, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266521, -2920, -1072, 380, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266562, -2325, -1548, 127, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266602, -1439, -2337, -120, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266643, -1089, -3021, -456, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266683, -738, -3568, -510, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266724, -562, -3649, -510, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266765, -283, -2964, -294, 85, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266804, -14, -1823, -256, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266843, 503, -1062, -128, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266882, 1437, 844, 538, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266921, 1110, 1486, 349, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
266961, 3244, 7011, 2930, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267000, 1812, 3493, 695, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267039, 6002, 5423, 1936, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267078, 7001, 3050, 704, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267117, 11250, 3477, -142, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267157, 12517, 4586, 376, 88, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267193, 7000, 3479, -330, 87, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267229, 4251, 2030, -325, 87, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
267266, 3916, 1996, -1026, 87, 77f359d6-dc60-4c38-bdb8-8f3e156a7982, , transisi, transisi_ruku_ke_iktidal, , 
