74191, 3745, -846, -1823, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76647, -608, -765, 40, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76682, 375, 611, 936, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76717, -69, 2198, -455, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76752, 1769, 4459, 3151, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76791, 1521, 5375, 2349, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76831, 3948, 3388, 1169, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76871, 6059, 2974, 1329, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76911, 10036, 3344, 1916, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76951, 13283, 4672, 190, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
76990, 6314, 4743, -1578, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77030, 2263, 2080, -758, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77070, 3581, 827, -3, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77110, 4268, 1566, 85, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77150, 4980, 1974, 744, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77186, 3594, 928, -190, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77223, 2483, 2307, -1959, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77260, 3112, 1942, -2238, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77296, 3799, 2442, -1287, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77333, 4752, 1005, 137, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77370, 4328, 933, 502, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77407, 4874, -1409, 1681, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77443, 3990, -130, 131, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77480, 3982, -127, 90, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77517, 4398, -458, 28, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77554, 4488, -399, -90, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77595, 4120, -265, -151, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77637, 3890, 456, -475, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77679, 4069, 429, -167, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77721, 4034, 930, -256, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
77763, 4153, 1006, -84, 57, f8387f22-4b75-4998-8a21-b32db670d100, , transisi, transisi_ruku_ke_iktidal, , 
