150510, 2879, -964, -2869, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152326, -95, 3588, 1680, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152363, -232, 3613, 2099, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152400, -854, 3521, 2162, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152439, -856, 3571, 2302, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152479, -1154, 2899, 2032, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152519, -1631, 2681, 2170, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152559, -2119, 1860, 1867, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152599, -2616, 1667, 1930, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152638, -3032, 1001, 1747, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152678, -3048, 796, 1836, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152718, -3231, 194, 1902, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152758, -3042, -116, 1640, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152798, -2958, -375, 1524, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152834, -2482, -1001, 1361, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152870, -1898, -1631, 780, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152906, -1892, -3064, -203, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152943, -1859, -3413, -548, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
152979, -1596, -3536, -504, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153015, -1258, -2934, -405, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153051, -868, -2195, -237, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153088, -542, -1346, -85, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153124, -39, -638, 70, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153160, 1037, -99, 129, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153197, 2403, 2650, 461, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153237, 4391, 5579, 1761, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153277, 4163, 5200, 1940, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153317, 5867, 4846, 1873, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153357, 6919, 3223, 444, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153398, 10108, 2137, -2146, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153438, 9717, 2752, -1628, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153478, 5794, 3863, -2129, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153518, 3388, 3627, -1658, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153558, 3626, 2354, -1481, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153599, 3785, 2493, -1876, 105, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153638, 3675, 2143, -1355, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153678, 3127, 1710, -554, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153717, 2934, 2020, -776, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153757, 3299, 2119, -1088, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153797, 3946, 1986, -1256, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153836, 4406, 1698, -1131, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153876, 4343, 1379, -965, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153915, 4554, 1882, -729, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153955, 4613, -1059, -816, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
153995, 4045, -978, -789, 106, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154031, 4044, -537, -491, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154067, 4081, 200, -563, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154103, 4134, 280, -627, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154140, 4067, 556, -673, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154176, 3881, 696, -551, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154212, 3851, 1171, -441, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154248, 3828, 1024, -336, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154285, 3902, 1189, -337, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154321, 3947, 1275, -361, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
154357, 3979, 1634, -360, 107, bf35514a-e976-4477-be37-fd1f7955d741, , transisi, transisi_ruku_ke_iktidal, , 
