158644, 3106, 2402, -493, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159775, 2189, 1089, 4179, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159810, 1877, 1159, 2530, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159844, 1871, 350, 2196, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159878, 2655, 3678, 5985, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159913, 2402, 761, 2507, 101, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
159960, 2686, 910, 255, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160008, 4003, 1041, 502, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160055, 5120, 2478, -441, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160103, 3867, 2146, 2837, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160151, 4356, 2063, 2019, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160198, 4564, 2261, 1846, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160246, 5667, 2671, 1236, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160293, 3704, 588, -153, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160341, 4379, 2119, 413, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160389, 4029, 1807, 764, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160419, 3894, 1665, 484, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160449, 2135, 1987, 2721, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160479, 2684, 1782, 2421, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160509, 2883, 1728, 2620, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160539, 2478, 2123, 2654, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160569, 2335, 1956, 2622, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160599, 2514, 1971, 2493, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160629, 2413, 2311, 2592, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160659, 2249, 2322, 2497, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160689, 2253, 2482, 2483, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160720, 1937, 2732, 2535, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160759, 2058, 2403, 2459, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160798, 2180, 2601, 2417, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160837, 2096, 2600, 2426, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160877, 2011, 2640, 2440, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160916, 2172, 2646, 2378, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160955, 2198, 2643, 2349, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
160995, 2168, 2626, 2325, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161034, 2338, 2516, 2341, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161073, 2180, 2687, 2277, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161113, 2253, 2547, 2223, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161155, 2368, 2562, 2233, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161197, 2277, 2621, 2221, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161239, 2285, 2595, 2253, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161281, 2274, 2607, 2228, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161323, 2388, 2559, 2257, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161365, 2378, 2610, 2178, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161407, 2390, 2591, 2084, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161449, 2432, 2592, 2107, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161491, 2441, 2639, 2025, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161534, 2485, 2651, 1968, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161569, 2591, 2614, 1884, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161604, 2636, 2632, 1819, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
161639, 2671, 2643, 1744, 99, c4c37e7d-4fef-46b8-bd45-90fe821ced36, , transisi, transisi_iktidal_ke_sujud, , 
