116899, 3805, 1437, 114, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118953, 3930, 3063, 1905, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
118999, 3865, 2785, 2395, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119045, 4095, 1785, 2370, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119091, 4292, 2530, 2434, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119137, 3943, 3302, 2766, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119183, 2763, 3432, 1531, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119229, 2441, 3091, 788, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119275, 3053, 2754, 1413, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119306, 2984, 2408, 1448, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119338, 2534, 1991, 1445, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119369, 3193, 2865, 322, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119401, 1875, 838, 1672, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119432, 2085, 443, 3118, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119464, 2258, 2120, 2215, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119495, 2262, 1834, 1730, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119527, 2127, 1874, 967, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119558, 2816, 2052, 206, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119590, 3186, 2012, 957, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119622, 3858, 1304, 1122, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119661, 4292, 1921, 1076, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119700, 4646, 1608, 1375, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119739, 4850, 1253, 1022, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119778, 4342, 946, 743, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119818, 3959, 1233, 310, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119857, 3616, 1202, 411, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119896, 3433, 1070, -641, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119935, 5284, 552, -5829, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
119974, 6154, 2803, 4481, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120014, 4303, -1115, 2820, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120054, 2717, 4370, 92, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120094, 4004, 1125, 1431, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120134, 3399, 2842, 1310, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120175, 3515, 1872, 1731, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120215, 2972, 2371, 1384, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120255, 2887, 2567, 1643, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120296, 3107, 2098, 1758, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120336, 2923, 2510, 1826, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120376, 2957, 2269, 1559, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120417, 2792, 2442, 1625, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120453, 2756, 2530, 1740, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120490, 2754, 2347, 2033, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120526, 2933, 2722, 1673, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120563, 2583, 2487, 2035, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120600, 2512, 2807, 1831, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120636, 2888, 2402, 1904, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120673, 2351, 3246, 1498, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120710, 2626, 2471, 2009, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120746, 2385, 2951, 1743, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120783, 2537, 2635, 1878, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120820, 2452, 2871, 1761, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120866, 2476, 2702, 1918, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120913, 2519, 2701, 1831, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
120959, 2516, 2742, 1866, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121006, 2457, 2841, 1820, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121052, 2498, 2727, 1814, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121099, 2517, 2696, 1803, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121145, 2436, 2811, 1822, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121192, 2497, 2632, 1964, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121238, 2490, 2843, 1725, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121285, 2572, 2587, 1931, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121317, 2526, 2764, 1808, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121349, 2568, 2546, 1932, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121381, 2550, 2865, 1677, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121413, 2578, 2692, 1875, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121445, 2550, 2700, 1815, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121477, 2505, 2727, 1907, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121509, 2498, 2748, 1925, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121541, 2646, 2563, 1888, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121573, 2719, 2388, 1961, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121605, 2778, 2528, 1822, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121637, 2755, 2508, 1658, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121678, 2805, 2483, 1704, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121720, 2750, 2535, 1651, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121762, 2791, 2485, 1738, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121803, 2868, 2575, 1689, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121845, 2870, 2440, 1707, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121887, 2891, 2286, 1724, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121928, 2845, 2419, 1718, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
121970, 2874, 2355, 1650, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122012, 2880, 2487, 1652, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122054, 2877, 2431, 1591, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122090, 2808, 2761, 1529, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122126, 2848, 2401, 1787, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122162, 2873, 2503, 1617, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122199, 2840, 2557, 1566, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122235, 2900, 2628, 1442, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122271, 2938, 2478, 1506, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122308, 2898, 2541, 1473, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122344, 2911, 2494, 1526, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122380, 2842, 2590, 1493, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122417, 2867, 2599, 1473, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122455, 2812, 2685, 1505, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122493, 2887, 2605, 1484, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122531, 2821, 2596, 1518, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122569, 2882, 2579, 1495, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122607, 2867, 2608, 1443, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122645, 2906, 2572, 1407, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
122683, 2943, 2564, 1386, 90, d1952a98-9cc0-4e3f-b3fd-92941a84a807, , transisi, transisi_iktidal_ke_sujud, , 
