269636, 3914, 1519, 639, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270507, 1982, 3151, 406, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270542, 2130, 1608, 639, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270577, 2161, 629, 787, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270612, 1948, 218, 1583, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270647, 2430, 1644, 331, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270682, 2915, 1425, -802, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270717, 2067, 3611, 405, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270753, 2528, 2916, 1681, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270792, 3311, 3755, 3343, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270831, 3518, 1768, 2039, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270871, 2219, 1232, 1825, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270910, 2693, 2408, 820, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270950, 4352, 4571, 1521, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
270989, 4569, 1843, 1917, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271028, 2941, 1510, 1762, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271068, 2543, 3131, 1707, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271107, 2492, 3937, 2261, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271147, 2637, 3542, 2648, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271183, 2506, 3137, 3121, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271220, 2126, 3337, 3314, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271257, 1490, 3183, 2942, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271293, 1540, 2316, 3645, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271330, 1512, 1312, 3522, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271367, 1718, 1992, 2832, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271404, 1564, 2087, 1950, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271440, 1950, 2569, 1949, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271477, 2612, 3603, 1995, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271514, 2384, 2332, 2076, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271551, 2239, 2577, 2002, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271595, 4911, 5985, 5543, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271640, -64, -1416, 2009, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271685, 2189, 2563, 2464, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271729, 2500, -768, -40, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271774, 4133, 1021, 3439, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271819, 4584, 563, 209, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271863, 6320, 2791, 4302, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271908, 7267, 2212, 881, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271953, 5754, -2099, -948, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
271998, 4864, 1613, 787, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272035, 2774, 2345, 305, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272073, 2680, 1076, 2566, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272110, 2607, 1769, 2500, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272148, 2506, 2288, 2411, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272186, 2576, 2003, 2472, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272223, 2567, 2311, 2742, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272261, 2539, 1920, 2603, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272298, 2301, 2401, 2356, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272336, 2841, 2373, 2559, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272374, 2539, 2202, 2281, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272408, 2467, 2394, 2353, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272442, 2351, 2285, 2447, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272476, 2556, 2186, 2455, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272510, 2518, 2235, 2422, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272544, 2750, 2062, 2325, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272578, 2731, 2025, 2390, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272612, 2826, 2112, 2217, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272646, 2722, 2187, 2184, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272680, 2731, 2193, 2152, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272714, 2764, 2120, 2238, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272749, 2692, 2280, 2216, 85, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272790, 2740, 2236, 2158, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272832, 2717, 2358, 2118, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272874, 2715, 2447, 2198, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272916, 2967, 2137, 2011, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
272958, 3043, 2136, 1866, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273000, 2839, 2420, 1737, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273042, 2794, 2471, 1601, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273084, 2844, 2540, 1610, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273126, 2768, 2656, 1569, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273168, 2771, 2676, 1550, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273204, 2828, 2658, 1499, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273240, 2863, 2634, 1453, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
273276, 2858, 2598, 1440, 86, 50bab74e-b5a6-4692-93e3-bb4ddb31962c, , transisi, transisi_iktidal_ke_sujud, , 
