130811, 3759, 1495, 530, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131887, 2459, 515, 2746, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131926, 2416, 1450, 2898, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
131965, 3154, 1651, 3084, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132004, 2810, 800, 3232, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132043, 2423, 1426, 3324, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132083, 2081, 687, 3551, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132121, 1997, 529, 3278, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132159, 1783, 1564, 2269, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132197, 2423, 2659, 2251, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132235, 6152, 2106, 3420, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132273, 6797, 2538, 3501, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132311, 3873, 1219, 3423, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132349, 2347, 377, 2767, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132387, 1979, 548, 2544, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132425, 1337, 225, 2298, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132463, 1702, 479, 2219, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132501, 2101, 698, 2376, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132540, 2769, 551, 2714, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132579, 2024, 738, 2444, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132619, 2350, 204, 2765, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132658, 3281, 523, 2314, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132698, 2991, 1337, 2074, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132737, 3183, 919, 1612, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132776, 3973, 631, 2501, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132816, 4297, 847, 2638, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132855, 4762, 1247, 2739, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132895, 4401, 1191, 2618, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132935, 3704, 938, 1463, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
132976, 4007, 719, -359, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133017, 6967, 876, 5519, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133058, 1817, 1700, 3729, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133099, 1287, 2030, 3151, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133139, 2216, 1197, 3654, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133180, 2112, 1375, 3435, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133221, 1784, 1486, 3443, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133262, 1724, 1557, 3459, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133303, 1482, 1767, 3431, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133338, 1382, 1416, 3714, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133373, 1309, 2005, 3502, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133408, 1511, 1669, 3472, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133443, 1358, 1644, 3567, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133478, 1357, 1703, 3590, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133513, 1413, 1706, 3520, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133548, 1337, 1692, 3563, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133583, 1213, 1778, 3547, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133618, 1273, 1758, 3566, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133653, 1403, 1699, 3568, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133688, 1339, 1777, 3521, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133728, 1263, 1676, 3592, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133768, 1297, 1659, 3593, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133809, 1472, 1707, 3530, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133849, 1545, 1659, 3497, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133890, 1537, 1709, 3468, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133930, 1533, 1649, 3480, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
133970, 1513, 1695, 3504, 83, 20a57e49-e33f-445d-bb53-42cd6239bc0a, , transisi, transisi_iktidal_ke_sujud, , 
