242816, 3927, 1589, 951, 93, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245565, 3385, 2206, 1161, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245606, 3218, 2121, 1213, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245647, 3268, 2359, 997, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245688, 3462, 2061, 1053, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245729, 3264, 2157, 1208, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245770, 3349, 2039, 1230, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245811, 3383, 2095, 1020, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245852, 3485, 2082, 1094, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245893, 3489, 2124, 982, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245934, 3542, 2039, 897, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
245976, 3475, 1976, 852, 90, 449c804f-e068-40ec-b93f-c749fb61e9ce, , transisi, transisi_iktidal_ke_sujud, , 
