356519, 4022, 1046, 494, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358274, 3713, 1747, 1612, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358313, 3840, 1887, 997, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358351, 4417, 1344, 1332, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358390, 4431, 734, 1795, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358429, 4211, 183, 2553, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358468, 3840, -434, 2041, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358507, 3653, 185, 1663, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358542, 3651, -170, 1624, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358577, 4996, 955, 4036, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358612, 4044, -878, 5954, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358647, 2548, -2834, 4673, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358682, 2568, -652, 3468, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358717, 2757, 1515, 2692, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358752, 1603, -834, 2288, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358787, 2966, 1111, 2855, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358822, 2959, 128, 2210, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358857, 3101, 723, 2116, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358893, 3339, 929, 2015, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358934, 3871, 718, 1593, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
358975, 4228, 894, 917, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359016, 5130, 1379, 38, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359057, 5706, 1732, 1151, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359099, 8402, 2642, 1610, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359140, 1109, 133, 1132, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359181, 4075, 2456, 2404, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359222, 3423, 990, 1949, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359263, 3615, 1030, 2611, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359305, 2783, 1790, 2216, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359343, 3140, 1066, 2340, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359382, 3250, 1424, 2344, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359420, 3004, 1325, 2353, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359459, 3230, 1358, 2558, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359497, 2890, 1493, 2467, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359536, 2911, 1384, 2624, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359574, 2771, 1579, 2639, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359613, 2997, 1416, 2644, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359651, 2791, 1784, 2488, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359690, 2896, 1491, 2572, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359729, 2773, 1719, 2569, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359768, 2886, 1550, 2507, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359807, 2830, 1688, 2580, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359846, 2902, 1510, 2615, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359885, 2847, 1562, 2565, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359925, 2850, 1631, 2583, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
359964, 2912, 1638, 2555, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360003, 2866, 1676, 2518, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360042, 2907, 1596, 2511, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360081, 2943, 1631, 2428, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360121, 2960, 1565, 2444, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360159, 2979, 1593, 2423, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360197, 2987, 1532, 2438, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360235, 2980, 1655, 2410, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360273, 2983, 1687, 2467, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360311, 3031, 1648, 2376, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360349, 3083, 1554, 2323, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360387, 3112, 1581, 2266, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360425, 3095, 1582, 2333, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360463, 3127, 1554, 2282, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360502, 3135, 1505, 2259, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360538, 3139, 1504, 2148, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360575, 3177, 1416, 2139, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360612, 3239, 1322, 2122, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360649, 3280, 1521, 2119, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360686, 3302, 1452, 2076, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360723, 3342, 1496, 2030, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360760, 3332, 1524, 1968, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360797, 3310, 1575, 1935, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360834, 3376, 1553, 1899, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360871, 3382, 1566, 1925, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360908, 3362, 1579, 1862, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360950, 3379, 1553, 1852, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
360993, 3390, 1602, 1801, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361035, 3381, 1596, 1820, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361078, 3404, 1610, 1763, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361121, 3377, 1633, 1754, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361163, 3396, 1587, 1742, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361206, 3397, 1615, 1723, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361248, 3425, 1564, 1707, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361291, 3445, 1600, 1669, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361334, 3467, 1617, 1647, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361370, 3485, 1587, 1621, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361407, 3483, 1596, 1602, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361444, 3477, 1600, 1599, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
361481, 3469, 1583, 1607, 75, 58e1eefc-0714-429a-8693-20599372ccb6, , transisi, transisi_iktidal_ke_sujud, , 
