115134, 4180, 76, -257, 93, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115891, 4386, 595, 566, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115928, 4199, 333, 1030, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
115965, 4373, 1083, 1079, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116002, 4608, 1124, 661, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116039, 4722, 1097, 518, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116076, 4302, 974, 4, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116113, 4199, 356, 236, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116150, 4205, 236, 837, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116187, 4338, 329, 1387, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116224, 4240, 336, 1938, 94, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116264, 3971, 411, 2446, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116305, 3712, 433, 2090, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116346, 2661, 453, 1506, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116387, 2983, 157, 1540, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116428, 3689, 545, 2473, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116469, 4348, 726, 2722, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116510, 4214, 1077, 4143, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116551, 3037, 608, 4399, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116592, 2031, 160, 4426, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116633, 1873, 99, 4470, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116668, 2423, 771, 3221, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116703, 2625, 993, 2873, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116739, 2629, 636, 2332, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116774, 2776, 210, 2152, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116809, 2666, 207, 2353, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116845, 3310, -491, 2916, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116880, 3910, 381, 1231, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116915, 4304, 13, 2006, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116951, 3984, -59, 1821, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
116986, 3778, 111, 1251, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117022, 3571, 288, 907, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117061, 3322, -25, 504, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117100, 3511, -352, 406, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117139, 3348, -43, 220, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117178, 3490, -899, 63, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117218, 11159, 1553, -1108, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117257, 10762, 5243, -991, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117296, 2401, -209, 354, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117335, 3578, -957, 354, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117374, 4114, -242, 1704, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117414, 3531, -51, 1646, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117455, 3718, 1082, 1599, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117497, 3887, 201, 1915, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117539, 3733, 640, 1429, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117580, 3494, 908, 2043, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117622, 3830, 539, 1664, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117664, 3591, 873, 2061, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117705, 3687, 849, 1708, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117747, 3479, 1050, 1660, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117789, 3586, 871, 1901, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117831, 3423, 918, 2038, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117870, 3714, 628, 1761, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117910, 3457, 1296, 1985, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117950, 3634, 753, 1883, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
117989, 3529, 1154, 1805, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118029, 3691, 686, 1832, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118069, 3460, 1353, 1866, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118109, 3660, 659, 1933, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118148, 3557, 1181, 1793, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118188, 3607, 914, 1794, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118228, 3518, 1226, 1862, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118268, 3693, 957, 1765, 95, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118302, 3503, 1118, 1909, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118337, 3606, 943, 1816, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118371, 3585, 1008, 1854, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118406, 3605, 1098, 1747, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118441, 3609, 951, 1805, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118475, 3587, 987, 1824, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118510, 3617, 951, 1813, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118544, 3575, 990, 1824, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118579, 3630, 1001, 1731, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118614, 3655, 866, 1681, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118651, 3656, 1012, 1667, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118688, 3675, 933, 1546, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118725, 3728, 932, 1591, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118763, 3756, 852, 1508, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118800, 3807, 829, 1553, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118837, 3754, 828, 1496, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118874, 3783, 786, 1537, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118912, 3791, 816, 1522, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118949, 3838, 847, 1535, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
118986, 3786, 768, 1430, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119024, 3761, 941, 1402, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119064, 3767, 932, 1423, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119104, 3728, 999, 1420, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119144, 3817, 979, 1397, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119184, 3811, 959, 1317, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119224, 3852, 934, 1214, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
119264, 3847, 961, 1195, 97, 9086a3c9-59c3-414d-b65d-f980fd1ea810, , transisi, transisi_iktidal_ke_sujud, , 
