202160, 4039, 794, 583, 82, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204592, 4225, 283, 2903, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204637, 2864, -419, 2420, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204682, 2553, 829, 4021, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204727, 695, -2189, -661, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204772, 3187, 204, 2064, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204817, 3120, 1717, 1799, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204862, 3058, -300, 2003, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204907, 3350, 13, 1711, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204953, 4994, 224, 1784, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
204987, 4541, 214, 2037, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205022, 4449, 461, -376, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205057, 5814, 790, -28, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205091, 7556, 469, -760, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205126, 5391, 712, 2908, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205161, 2668, 1962, 1658, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205196, 3762, 836, 1465, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205230, 3217, 1242, 1928, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205265, 3630, 995, 1932, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205300, 3370, 1363, 2082, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205335, 3446, 990, 2269, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205373, 3353, 1224, 2427, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205412, 3106, 1428, 2202, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205450, 3187, 851, 2483, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205489, 3182, 1472, 2436, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205527, 3167, 1257, 2516, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205566, 2955, 1605, 2340, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205604, 2961, 1500, 2476, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205643, 2879, 1465, 2692, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205681, 2914, 1411, 2313, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205720, 2762, 1563, 2765, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205754, 2869, 1465, 2673, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205789, 2841, 1458, 2575, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205824, 2644, 1792, 2694, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205858, 2891, 1341, 2704, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205893, 2881, 1321, 2651, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205928, 2816, 1522, 2636, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205963, 2914, 1358, 2564, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
205997, 2824, 1531, 2643, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
206032, 2907, 1515, 2613, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
206067, 2878, 1551, 2537, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
206102, 2966, 1498, 2555, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
206141, 2978, 1310, 2488, 83, ccb48f8d-2053-45f3-b7d7-aecf428319dd, , transisi, transisi_iktidal_ke_sujud, , 
