306622, 3911, 607, -439, 93, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309013, 4424, 1434, 3118, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309053, 4347, 889, 2698, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309093, 7144, 2541, 5668, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309133, 2639, 1, 2134, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309170, 1394, 1796, 3952, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309207, 2060, 1683, 2972, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309244, 2852, 770, 3412, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309281, 2247, 1058, 3406, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309318, 2199, 931, 3384, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309355, 2069, 1143, 3533, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309392, 2278, 930, 3495, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309429, 2003, 1304, 3514, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309466, 2077, 1350, 3202, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309504, 2055, 1259, 3473, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309543, 2113, 1292, 3308, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309583, 2036, 1310, 3388, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309623, 2230, 1195, 3304, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309663, 2192, 1184, 3345, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
309703, 2233, 1211, 3289, 94, 75b179a4-b2a5-4d53-be6e-3183f5e24b58, , transisi, transisi_iktidal_ke_sujud, , 
