93836, 3628, 651, -913, 114, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95116, 4400, 5272, 6412, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95158, 15348, -3017, -3964, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95201, 2285, 2903, -242, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95240, 2986, 33, 2894, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95279, 3340, 892, 1970, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95318, 3565, 517, 2080, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95357, 3378, 1120, 1717, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95396, 3409, 393, 1926, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95435, 3155, 1873, 1735, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95474, 3490, 1116, 2282, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95513, 3478, 1782, 1639, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95552, 3598, 1172, 2258, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95592, 3489, 1419, 1851, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95627, 3394, 1328, 2066, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95662, 3480, 1337, 1788, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95697, 3169, 1741, 2153, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95732, 3456, 1273, 1847, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95767, 3099, 1584, 2247, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95803, 3472, 1243, 1942, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95838, 3198, 1622, 2141, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95873, 3424, 1361, 1954, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95908, 3363, 1444, 1979, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95943, 3438, 1387, 1949, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
95979, 3217, 1572, 2004, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
96021, 3395, 1552, 1929, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
96063, 3373, 1392, 1756, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
96105, 3482, 1465, 1832, 117, 717aee78-b7ea-4bcf-96ad-96230899019d, , transisi, transisi_iktidal_ke_sujud, , 
