409307, 4100, 716, -175, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410382, 3650, 845, 387, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410417, 3489, 913, 410, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410456, 3681, 1392, 482, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410496, 3571, 1210, 551, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410536, 3928, 1278, 1057, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410576, 3781, 1334, 958, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410616, 4225, 1548, 1314, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410655, 4247, 1673, 1274, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410695, 3135, 1218, 386, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410735, 3538, 1359, 1341, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410775, 3724, 1543, 1638, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410815, 3682, 1334, 1783, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410853, 3557, 1592, 2051, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410891, 3578, 2075, 2729, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410929, 2744, 1476, 2913, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
410967, 2399, 1819, 2607, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411005, 2361, 1537, 2188, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411044, 4504, -129, 2017, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411082, 4046, 1408, 2394, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411120, 4212, 1078, 3014, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411158, 4179, 1300, 3407, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411196, 3664, 957, 3619, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411235, 2878, 712, 3580, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411272, 2397, 460, 3078, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411310, 2576, 796, 2446, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411348, 2683, 1152, 2088, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411386, 2625, 1146, 2438, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411424, 3150, 1076, 1954, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411462, 1587, 829, 1907, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411500, 3402, 363, 2938, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411538, 3080, 1286, 2309, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411576, 3385, 1185, 1893, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411614, 3423, 1292, 1502, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411655, 3538, 855, 1053, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411697, 3619, 378, 987, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411739, 3938, 754, 1717, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411780, 4536, 172, 2372, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411822, 4389, 907, 1587, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411864, 4180, 1010, 1919, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411905, 4145, 1150, 900, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411947, 4067, 1196, 216, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
411989, 4282, 1061, 203, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412031, 4095, 1182, 554, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412066, 4213, 1259, 74, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412101, 4213, 309, 3007, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412136, 4658, 1146, 2026, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412172, 3239, 1135, 2377, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412207, 3451, 1291, 2202, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412242, 2959, 1339, 2129, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412277, 3378, 770, 2278, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412313, 3278, 1808, 2141, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412348, 3232, 1184, 2079, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412383, 3210, 1587, 2559, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412419, 2995, 1412, 2407, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412458, 3076, 1277, 2617, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412498, 2977, 1244, 2685, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412537, 2981, 1407, 2653, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412577, 2966, 1273, 2738, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412616, 2961, 1367, 2493, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412656, 2861, 1446, 2783, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412695, 2865, 1251, 2754, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412735, 2882, 1489, 2436, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412774, 2837, 1529, 2672, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412814, 2891, 1375, 2672, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412851, 2820, 1542, 2653, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412889, 2879, 1331, 2698, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412927, 2861, 1533, 2534, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
412965, 2924, 1335, 2615, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413003, 2922, 1497, 2516, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413041, 2923, 1426, 2596, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413079, 2965, 1395, 2545, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413117, 2941, 1462, 2529, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413155, 2923, 1442, 2585, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413193, 2946, 1330, 2585, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413231, 2962, 1440, 2541, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413269, 3012, 1374, 2587, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413308, 2928, 1427, 2554, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413347, 3037, 1403, 2487, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413386, 3001, 1381, 2510, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413425, 3016, 1443, 2444, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413464, 3030, 1316, 2527, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413503, 3011, 1435, 2457, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413542, 3040, 1306, 2505, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413581, 3050, 1383, 2476, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413620, 3059, 1314, 2487, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413660, 3029, 1364, 2498, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413701, 3101, 1349, 2453, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413741, 3085, 1338, 2445, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413782, 3127, 1309, 2406, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413822, 3120, 1277, 2395, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413863, 3143, 1284, 2362, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413903, 3168, 1252, 2356, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413944, 3178, 1334, 2331, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
413984, 3221, 1282, 2295, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414025, 3218, 1259, 2293, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414061, 3212, 1292, 2280, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414098, 3255, 1196, 2255, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414135, 3244, 1225, 2252, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414172, 3300, 1223, 2269, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414209, 3267, 1273, 2246, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414246, 3313, 1210, 2208, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414283, 3339, 1209, 2170, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414320, 3325, 1196, 2168, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414357, 3354, 1193, 2154, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414394, 3359, 1183, 2166, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414431, 3348, 1174, 2155, 80, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
414474, 3396, 1163, 2127, 81, f991c4e7-c70d-4e2a-a57e-f145406ee310, , transisi, transisi_iktidal_ke_sujud, , 
