105668, 3950, 1295, 37, 98, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108727, 2663, 2181, 2053, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108763, 2803, 2287, 2064, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108799, 2664, 2483, 2152, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108835, 2399, 2556, 2249, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108871, 2726, 2369, 2057, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108907, 2834, 2259, 2100, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108943, 2754, 2161, 1950, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
108979, 2791, 2351, 2020, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109015, 2726, 2384, 2026, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109051, 2897, 2279, 1878, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109091, 2978, 2202, 1852, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109131, 2986, 2219, 1795, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109171, 3073, 2213, 1783, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109211, 3030, 2219, 1746, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
109252, 3066, 2251, 1710, 99, b61483d7-4576-4074-bd3c-37c2a937df05, , transisi, transisi_iktidal_ke_sujud, , 
