339799, 4037, 927, -235, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342950, 3246, 1237, 2296, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
342983, 3183, 1334, 2269, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343016, 3225, 1367, 2167, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343049, 3208, 1347, 2270, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343083, 3245, 1298, 2240, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343116, 3206, 1356, 2250, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343149, 3266, 1263, 2264, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343182, 3263, 1389, 2169, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343215, 3274, 1406, 2180, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343249, 3259, 1326, 2156, 83, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343288, 3265, 1370, 2209, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343327, 3288, 1319, 2136, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343366, 3271, 1302, 2204, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343406, 3299, 1319, 2087, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343445, 3279, 1281, 2192, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343484, 3290, 1309, 2189, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343524, 3302, 1279, 2136, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343563, 3323, 1354, 2069, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343602, 3337, 1292, 2103, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343642, 3348, 1309, 2118, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343678, 3345, 1207, 2122, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343714, 3336, 1264, 2115, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343750, 3335, 1275, 2120, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343786, 3354, 1108, 2164, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343822, 3363, 1193, 2117, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343858, 3362, 1196, 2081, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343894, 3411, 1183, 2086, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343930, 3414, 1186, 2040, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
343966, 3326, 1276, 1930, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344002, 3421, 1012, 2069, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344039, 3397, 1139, 2097, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344078, 3426, 1081, 2049, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344117, 3456, 1132, 2021, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344156, 3461, 1062, 2000, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344196, 3482, 1112, 1991, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344235, 3486, 1101, 1998, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344274, 3476, 1089, 2000, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344314, 3497, 1077, 1977, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344353, 3527, 1027, 1985, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344392, 3520, 1041, 1923, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344432, 3527, 970, 1939, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344470, 3547, 1071, 1895, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344508, 3548, 1028, 1884, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344547, 3558, 1045, 1847, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344585, 3590, 957, 1853, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344624, 3587, 1010, 1796, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344662, 3616, 925, 1788, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344700, 3630, 972, 1781, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344739, 3641, 894, 1778, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344777, 3635, 1056, 1723, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
344816, 3655, 981, 1665, 82, 7b312d71-6907-4cca-9a35-0f839ff747e8, , transisi, transisi_iktidal_ke_sujud, , 
