63558, 3759, 1507, 392, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65492, 929, 1497, 2173, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65533, 3744, 1059, 3849, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65574, 2643, 561, 3033, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65615, 1430, 1725, 1892, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65651, 1715, -74, 1168, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65687, 3975, 560, 2963, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65724, 4291, 1450, 3540, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65760, 5261, 883, 3515, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65797, 6861, 1829, 4214, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65833, 3924, 847, 670, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65870, 4851, 1933, 509, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65906, 3991, 1194, 726, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65943, 2578, 1849, 2810, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
65979, 2396, 2202, 2518, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66016, 3145, 1359, 2574, 64, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66055, 2442, 2222, 2640, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66094, 3062, 1363, 2767, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66133, 2379, 1908, 2453, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66172, 2487, 2020, 2693, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66211, 2943, 1563, 2565, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66250, 2433, 2088, 2542, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66289, 2840, 1708, 2579, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66328, 2642, 1779, 2593, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66367, 2610, 1894, 2543, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66406, 2938, 1720, 2533, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66443, 2838, 1828, 2458, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66480, 2739, 2011, 2371, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66518, 2837, 1968, 2361, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66555, 2828, 2104, 2289, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66592, 2872, 1993, 2191, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66630, 2881, 2033, 2213, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66667, 2873, 2054, 2157, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66704, 2858, 2052, 2110, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66742, 2920, 1996, 2102, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66779, 2929, 2037, 2073, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66817, 3005, 1976, 2069, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66856, 2922, 2042, 2129, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66896, 2977, 2029, 2006, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66936, 3040, 1967, 1982, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
66976, 3124, 1974, 1908, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67016, 3155, 1880, 1950, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67056, 3112, 2022, 1921, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67096, 3081, 2097, 1865, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67136, 3140, 2008, 1842, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67176, 3082, 2128, 1776, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67216, 3069, 2172, 1748, 65, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
67255, 3073, 2214, 1705, 63, f3d1a468-3daf-4c66-a732-6849f07a1009, , transisi, transisi_iktidal_ke_sujud, , 
