212786, 3898, 1425, 837, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214661, 4850, 1329, 1119, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214705, 5040, 2871, -7327, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214749, 5880, 1793, 2233, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214793, 2878, -143, -1386, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214837, 7352, 2942, 2544, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214881, 3839, 1134, 191, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214925, 2698, 1181, 1811, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
214969, 3001, 1738, 2446, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215013, 3213, 1915, 2399, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215057, 2633, 1903, 2651, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215102, 2629, 1736, 2701, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215137, 2467, 2165, 2677, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215173, 2786, 1915, 2656, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215208, 2441, 2196, 2570, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215244, 2583, 2050, 2677, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215279, 2639, 1983, 2339, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215315, 2731, 1833, 2446, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215350, 2795, 1819, 2477, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215386, 2766, 1828, 2486, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215421, 2658, 1999, 2444, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215457, 2680, 1911, 2397, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215495, 2931, 1776, 2284, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215533, 3132, 1812, 2130, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215571, 2792, 1993, 2239, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215609, 2931, 1873, 2291, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215647, 2775, 2038, 2299, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215685, 2944, 2147, 2022, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215723, 3035, 1939, 2013, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215761, 2953, 2089, 1971, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
215799, 3104, 1987, 1964, 106, bf557ca3-016f-4391-aaa1-07da634b67d1, , transisi, transisi_iktidal_ke_sujud, , 
