79061, 3678, 1188, -1202, 94, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80853, 3930, 2134, 1719, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80898, 4057, 2410, 1758, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80943, 5484, 1706, 3997, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
80988, 5321, -32, 3282, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81033, 1948, 2631, 3579, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81065, 2489, 988, 3065, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81098, 2372, 1266, 3129, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81131, 2402, 1241, 3225, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81163, 2371, 1231, 3209, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81196, 2426, 1304, 3084, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81229, 2327, 1361, 3164, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81262, 2510, 1215, 3168, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81294, 2339, 1381, 3145, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81327, 2416, 1320, 3170, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81360, 2445, 1412, 3119, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81393, 2378, 1330, 3120, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81433, 2410, 1390, 3102, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81474, 2397, 1387, 3070, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81514, 2526, 1360, 3024, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81555, 2480, 1378, 3035, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81595, 2541, 1333, 3035, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81636, 2488, 1416, 2985, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81676, 2506, 1414, 3042, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81717, 2529, 1470, 2990, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81757, 2492, 1307, 3108, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81798, 2499, 1380, 3080, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81837, 2557, 1334, 2983, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81877, 2498, 1326, 3022, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81916, 2575, 1271, 3017, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81956, 2481, 1302, 2995, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
81995, 2525, 1349, 3025, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82035, 2594, 1303, 3012, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82074, 2557, 1336, 2983, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82114, 2571, 1323, 2957, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82153, 2590, 1356, 2960, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82193, 2574, 1378, 2955, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82228, 2612, 1396, 2934, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82263, 2616, 1448, 2912, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82298, 2641, 1439, 2891, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82333, 2614, 1434, 2863, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82368, 2641, 1447, 2844, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82403, 2658, 1476, 2839, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82438, 2694, 1446, 2829, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82473, 2669, 1486, 2817, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82508, 2688, 1484, 2791, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82543, 2682, 1484, 2794, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82578, 2705, 1484, 2806, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82623, 2695, 1468, 2787, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82668, 2721, 1489, 2767, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82713, 2721, 1483, 2766, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82758, 2732, 1463, 2751, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82803, 2713, 1493, 2771, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82848, 2736, 1461, 2769, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82893, 2719, 1508, 2748, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82938, 2741, 1486, 2743, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
82983, 2734, 1524, 2733, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
83029, 2736, 1511, 2727, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
83065, 2724, 1526, 2730, 95, 89887e31-67d5-4252-bd71-85533af6862f, , transisi, transisi_iktidal_ke_sujud, , 
